 Stress_Period Precip SW_Irr GW_Irr ET Recharge Runoff Storage Error
  67            9849335.             122741.             108187.          -16475232.            -877370.                  0.            7272339.                  0.
  68            7416498.            5841167.            6850812.          -23032770.            -460443.                  0.            3384735.                  0.
  69            1032528.           10716812.           12636592.          -27109896.            -827755.                  0.            3551719.                  0.
  70             822959.            9951887.           14671187.          -26373009.           -2451102.                  0.            3378078.                  0.
  71             417674.            3286631.           15840662.          -20478827.           -1580176.                  0.            2514037.                  0.
  72            2171415.            2821246.            2368806.          -12756780.            -990949.                  0.            6386262.                  0.
  73            7737014.            1750906.             543018.           -9569848.            -909546.                  0.             448457.                 -0.
  74           23920798.                  0.                  0.           -3002202.           -5016493.                  0.          -15902103.                  0.
  75           51307607.                  0.                  0.            -774882.          -34472788.                  0.          -16059937.                  0.
  76           28758681.                  0.                  0.            -966238.          -27290297.                  0.            -502146.                 -0.
  77             371124.                  0.                  0.           -1014029.            -276430.                  0.             919336.                  0.
  78            5305488.                  0.                854.          -11875829.           -1534536.                  0.            8104024.                 -0.
  79            4437458.            2188290.            2467859.          -15793380.            -290445.                  0.            6990217.                  0.
  80            1399788.            9703414.           11528520.          -25944236.             -81942.                  0.            3394457.                  0.
  81            7069693.            8987489.           10785908.          -23491996.           -2599207.                  0.            -751888.                  0.
  82            2125851.            5382636.            7816091.          -15360798.           -1664835.                  0.            1701056.                  0.
  83            6603800.             755711.             825594.           -2249721.           -2165165.                  0.           -3770219.                 -0.
  84            3581591.             583635.             181006.           -2289611.           -1146932.                  0.            -909689.                  0.
  85            8211587.             105055.              32581.           -1197756.           -2720961.                  0.           -4430505.                  0.
  86           13108212.                  0.                  0.            -678407.           -7844397.                  0.           -4585408.                  0.
  87            6196957.                  0.                  0.            -725398.           -4206725.                  0.           -1264834.                  0.
  88           31266384.                  0.                  0.            -799290.          -25642039.                  0.           -4825055.                  0.
  89             212071.                  0.                  0.           -1016939.            -149037.                  0.             953905.                  0.
  90           16716671.                  0.                  0.          -10861622.           -6297298.                  0.             442249.                  0.
  91            3540706.             183193.             147604.          -16311951.            -254126.                  0.           12694574.                  0.
  92           18341374.            3732368.            4459457.          -18885993.           -1440392.                  0.           -6206813.                 -0.
  93            9645572.            8783681.           10347728.          -27599141.           -3136536.                  0.            1958697.                  0.
  94            2344699.           12405275.           13540603.          -30023072.           -3775074.                  0.            5507570.                  0.
  95             306842.            8650436.           12960574.          -22435462.           -2604559.                  0.            3122169.                  0.
  96            3763795.            4576540.            2100496.          -15903628.           -1868253.                  0.            7331050.                 -0.
  97            7519426.            1442711.             447436.          -10054990.           -1193135.                  0.            1838552.                 -0.
  98           43554971.                  0.                  0.           -2725939.          -15811139.                  0.          -25017893.                 -0.
  99            6587372.                  0.                  0.            -725295.           -5095224.                  0.            -766853.                  0.
 100           24986579.                  0.                  0.            -975908.          -22159788.                  0.           -1850883.                  0.
 101            2465321.                  0.                  0.           -1658177.           -1822922.                  0.            1015777.                 -0.
 102            4949309.                  0.                262.           -9569492.           -1105136.                  0.            5725057.                  0.
 103             856278.            2129852.            2319181.          -15791063.             -32120.                  0.           10517872.                  0.
 104             284198.            8711899.           10328154.          -22433020.             -43459.                  0.            3152228.                 -0.
 105                  0.           10605517.           12515735.          -22765677.           -1519172.                  0.            1163596.                  0.
 106                  0.           10921475.           14020606.          -22981022.           -2650454.                  0.             689396.                 -0.
 107            1123400.            6057205.           11883553.          -19016264.           -1806718.                  0.            1758823.                  0.
 108                  0.            4869007.            2430001.          -14020601.           -1111424.                  0.            7833017.                 -0.
 109            6013542.            2101087.             651622.           -9172023.            -888353.                  0.            1294124.                  0.
 110           17795032.                  0.                  0.           -3349503.           -3537507.                  0.          -10908022.                  0.
 111            5312665.                  0.                  0.            -718036.           -1760430.                  0.           -2834199.                  0.
 112           35180875.                  0.                  0.            -765607.          -17298426.                  0.          -17116842.                  0.
 113            3489610.                  0.                  0.           -1317978.           -1986934.                  0.            -184698.                  0.
 114            9232849.                  0.                  0.           -7206317.           -5016063.                  0.            2989531.                  0.
 115           14482354.              20980.              33640.          -17750289.           -1991811.                  0.            5205127.                 -0.
 116            2587126.            5591121.            6581851.          -22836178.            -118552.                  0.            8194631.                 -0.
 117            2008985.            4501017.            5284985.          -11880626.            -218902.                  0.             304541.                  0.
 118            3989482.            7713320.           10576497.          -23741081.           -1406056.                  0.            2867838.                  0.
