subws_ID	ISEG	subws_name	stream_name
1	1	Scott_Tailings	Scott River
1	2	Scott_Tailings	Sugar Creek
2	6	French	Miners Creek
2	7	French	French Creek
3	11	Etna	Etna Creek
4	15	Patterson	Johnson Creek
4	16	Patterson	Crystal Creek
4	18	Patterson	Patterson Creek
5	21	Kidder	Kidder Creek
6	24	Moffett	Moffett Creek
7	27	Mill	Mill Creek
8	28	Shackleford	Shackleford Creek
