HRU_ID,SubId_2
"214636",
"214636",
"214636",
"214636",
"214636",
"214636",
"214636",
"214636",
"213530",
"213530",
"213530",
"213530",
"213530",
"213530",
"213530",
"213530",
"212977",
"212977",
"212977",
"212977",
"212977",
"212977",
"212977",
"212977",
"212424",
"212424",
"212424",
"212424",
"212424",
"212424",
"212424",
"212424",
"216849",
"216849",
"216849",
"216849",
"216849",
"216849",
"216849",
"216849",
"216296",
"216296",
"216296",
"216296",
"216296",
"216296",
"216296",
"216296",
"215743",
"215743",
"215743",
"215743",
"215743",
"215743",
"215743",
"215743",
"215190",
"215190",
"215190",
"215190",
"215190",
"215190",
"215190",
"215190",
"214637",
"214637",
"214637",
"214637",
"214637",
"214637",
"214637",
"214637",
"214084",
"214084",
"214084",
"214084",
"214084",
"214084",
"214084",
"214084",
"213531",
"213531",
"213531",
"213531",
"213531",
"213531",
"213531",
"213531",
"212978",
"212978",
"212978",
"212978",
"212978",
"212978",
"212978",
"212978",
"212425",
"212425",
"212425",
"212425",
"212425",
"212425",
"212425",
"212425",
"211872",
"211872",
"211872",
"211872",
"211872",
"211872",
"211872",
"211872",
"211319",
"211319",
"211319",
"211319",
"211319",
"211319",
"211319",
"211319",
"210766",
"210766",
"210766",
"210766",
"210766",
"210766",
"210766",
"210766",
"216850",
"216850",
"216850",
"216850",
"216850",
"216850",
"216850",
"216850",
"216297",
"216297",
"216297",
"216297",
"216297",
"216297",
"216297",
"216297",
"215744",
"215744",
"215744",
"215744",
"215744",
"215744",
"215744",
"215744",
"215191",
"215191",
"215191",
"215191",
"215191",
"215191",
"215191",
"215191",
"214638",
"214638",
"214638",
"214638",
"214638",
"214638",
"214638",
"214638",
"214085",
"214085",
"214085",
"214085",
"214085",
"214085",
"214085",
"214085",
"213532",
"213532",
"213532",
"213532",
"213532",
"213532",
"213532",
"213532",
"212979",
"212979",
"212979",
"212979",
"212979",
"212979",
"212979",
"212979",
"212426",
"212426",
"212426",
"212426",
"212426",
"212426",
"212426",
"212426",
"211873",
"211873",
"211873",
"211873",
"211873",
"211873",
"211873",
"211873",
"211320",
"211320",
"211320",
"211320",
"211320",
"211320",
"211320",
"211320",
"210767",
"210767",
"210767",
"210767",
"210767",
"210767",
"210767",
"210767",
"216851",
"216851",
"216851",
"216851",
"216851",
"216851",
"216851",
"216851",
"216298",
"216298",
"216298",
"216298",
"216298",
"216298",
"216298",
"216298",
"215745",
"215745",
"215745",
"215745",
"215745",
"215745",
"215745",
"215745",
"215192",
"215192",
"215192",
"215192",
"215192",
"215192",
"215192",
"215192",
"214639",
"214639",
"214639",
"214639",
"214639",
"214639",
"214639",
"214639",
"214086",
"214086",
"214086",
"214086",
"214086",
"214086",
"214086",
"214086",
"213533",
"213533",
"213533",
"213533",
"213533",
"213533",
"213533",
"213533",
"212980",
"212980",
"212980",
"212980",
"212980",
"212980",
"212980",
"212980",
"212427",
"212427",
"212427",
"212427",
"212427",
"212427",
"212427",
"212427",
"211874",
"211874",
"211874",
"211874",
"211874",
"211874",
"211874",
"211874",
"211321",
"211321",
"211321",
"211321",
"211321",
"211321",
"211321",
"211321",
"210768",
"210768",
"210768",
"210768",
"210768",
"210768",
"210768",
"210768",
"210215",
"210215",
"210215",
"210215",
"210215",
"210215",
"210215",
"210215",
"216852",
"216852",
"216852",
"216852",
"216852",
"216852",
"216852",
"216852",
"216299",
"216299",
"216299",
"216299",
"216299",
"216299",
"216299",
"216299",
"215746",
"215746",
"215746",
"215746",
"215746",
"215746",
"215746",
"215746",
"215193",
"215193",
"215193",
"215193",
"215193",
"215193",
"215193",
"215193",
"214640",
"214640",
"214640",
"214640",
"214640",
"214640",
"214640",
"214640",
"214087",
"214087",
