ModelDate, MonthlyFactor2030, MonthlyFactor2070, MonthlyFactor2070DEW, MonthlyFactor2070WMW
1/01/1915,1.0400471020946762,1.2397422569307932,0.8634548847756285,1.176288926249262
2/01/1915,1.0036875981808904,1.3302836694159565,1.3855512865462656,3.4469779217153476
3/01/1915,1.0448677236341715,1.58140271639883,1.3233141110065076,5.122787527128719
4/01/1915,1.0312858818097592,1.0995340872862678,1.001343969449036,1.7281229011407802
5/01/1915,0.9752956370122096,0.6949199143740721,0.9301627899152015,1.170529130050318
6/01/1915,0.9696497506557272,0.8637882101097013,0.8727849503703945,1.109608784300364
7/01/1915,0.986280555779511,0.9454303241327537,0.9459363849828274,1.0412511733301995
8/01/1915,1.0033774398379463,0.9989706034508097,1.0047007139598865,1.0256451370144022
9/01/1915,1.001333919943759,1.0009025164315462,1.0044520376083421,1.0133116423363455
10/01/1915,0.998308725863179,1.0004924844832175,1.0054861103237063,1.0045744230242848
11/01/1915,1.01658911266561,0.9024077125288861,0.7012016212260558,1.42324769171599
12/01/1915,1.1853971391431133,1.327751323555322,1.1041766976811884,1.7786123137807026
1/01/1916,1.097168671669868,1.3801883663500938,0.9181614511515702,1.6897273218797035
2/01/1916,1.5600295287111519,2.2565162424961365,0.8601423019701736,4.377630630376539
3/01/1916,1.393173652795424,1.6312299932304108,0.980273439015563,3.2046293058701845
4/01/1916,1.093443002769283,1.0964485890610387,0.9270538462460234,1.2793590216124024
5/01/1916,1.001391746587368,0.9661446805191085,0.8831070368033539,1.0331839336922573
6/01/1916,1.0059484603197009,0.9977224389021995,0.9608880045673545,1.0435106595788188
7/01/1916,1.028212470470864,1.052985348052492,1.0663176169487734,1.091514276255968
8/01/1916,1.010779220842922,1.0217145844485171,1.0327665181723886,1.0156719648232375
9/01/1916,1.0038757656359507,1.0112855752866736,0.9560885586164047,1.1013798596505595
10/01/1916,0.9455013808838668,0.8767966671668151,0.6576431190736007,0.9034557322936289
11/01/1916,1.065605636105505,0.8579458735939665,0.6645354726966214,1.2269029203841244
12/01/1916,1.1577529042722574,1.1239156664277639,1.0927726124563168,1.670018217700669
1/01/1917,1.0130345096398232,1.0554647855063466,0.8869451028911499,1.2600529397198927
2/01/1917,1.0233610633710646,1.1369680967552114,1.3840643808857938,1.6522624830784771
3/01/1917,1.1918117926262282,1.195278513215213,1.1551406736550365,2.210587137358915
4/01/1917,1.0193444506253575,0.945034288158594,0.9480345491592131,1.3130214837130392
5/01/1917,1.0225402918365436,0.9581296372319982,0.892861455135024,1.3127614181985836
6/01/1917,1.0207062967944165,1.0005262383230247,0.9622804043846238,1.2245491751499822
7/01/1917,1.018811967845315,1.013478180869475,1.0002939088423954,1.1398962338359442
8/01/1917,1.0104022467760334,1.0132042955629965,1.0136999381992626,1.065905508919377
9/01/1917,1.0039652411300868,1.00548310122611,0.9979420030408598,1.1799841527033572
10/01/1917,1.0042070429436265,1.0061783238588835,1.006964876233169,1.0149773275835834
11/01/1917,1.0009326962206335,0.9212116879501189,0.7718707789677386,1.3736481833760732
12/01/1917,1.0999283259973147,1.0506821173833365,1.0671625120006696,1.7423168186372224
1/01/1918,0.9375259580212627,1.1191529460531309,0.8884450543538697,1.34517633227615
2/01/1918,1.018616541922954,1.0994096746469137,1.3624999209912236,1.928521791266713
3/01/1918,1.02869001027446,1.069474233950428,1.0703010231101688,1.461472243925128
4/01/1918,1.0008211551351622,0.9405908326548944,0.9624028837641491,1.4135204464368625
5/01/1918,0.9790275220152087,0.9766166018745862,0.9696830881523806,1.4233493922714808
6/01/1918,1.000074133721544,1.0006368381052009,1.0028384382042614,1.2566385423982678
7/01/1918,1.0040823453392158,1.009382339702175,1.0180685512952083,1.1350932371295797
8/01/1918,1.0025096420371056,1.0076260943173792,1.013580658785366,1.0431158482272807
9/01/1918,1.153001297166059,2.0331507482866167,1.551932301936412,0.8864334773109952
10/01/1918,0.9921645742997454,1.0902923724954499,0.7762791153332167,0.8133593403389449
11/01/1918,1.0516663934615904,0.8952779086949684,0.44212643487724834,1.514323262051622
12/01/1918,1.0740364801845153,1.0823642394999176,0.9386747719530526,1.6272606935851963
1/01/1919,0.9933924729927701,1.06679414593155,0.8357021428671766,1.25632181656006
2/01/1919,0.9934421837293657,1.0897426208065613,1.4237220278247098,2.350971605066153
3/01/1919,1.1092962180016332,1.2982174980871115,1.1791842817624916,9.74998459373332
4/01/1919,1.0417833606794744,1.033494539066067,1.00538858554349,2.15475957119279
5/01/1919,1.000431471048851,1.0147837549591623,0.9527659931307051,1.234797222813992
6/01/1919,1.0043831627256739,1.027643816211153,0.9983981757499202,1.170071730735925
7/01/1919,1.01110667390559,1.0372028756828777,1.0392197719526242,1.1062889966698128
8/01/1919,1.0068937120623127,1.0177676009392573,1.0233986544075395,1.0398682070392589
9/01/1919,0.9678803229365832,0.9965107832393537,1.0044721317600072,1.4807779142854616
10/01/1919,0.9578781905541471,0.9521805007184261,0.9126461482854353,0.9567366178222882
11/01/1919,0.9612755130092188,0.9354688710219818,0.8348155432231249,1.2364612864009095
12/01/1919,1.1441655217047921,1.132582977274871,1.2231749167305634,1.7927311073459813
1/01/1920,1.053219359024321,1.1831148923309553,0.9229824231658948,1.3319174531186404
2/01/1920,1.0279562674869618,0.9973257401323273,1.1583997005461282,2.317389998163074
3/01/1920,1.03959889435669,1.0655040915948273,1.0767243242209628,1.4069462576959417
4/01/1920,0.9908758695280265,0.8811779705272105,1.0484702120687037,1.293628890291708
5/01/1920,1.0063622823791736,0.9737416030879146,0.9708439211253247,1.455064716697023
