HRU_ID,row,column,delx,dely,area,node,newnode,noflow,pinched,SubId,DowSubId
"246639",,,,,,,,,,,
"246086",,,,,,,,,,,
"245533",,,,,,,,,,,
"244980",,,,,,,,,,,
"244427",,,,,,,,,,,
"243874",,,,,,,,,,,
"243321",,,,,,,,,,,
"242768",,,,,,,,,,,
"242215",,,,,,,,,,,
"241662",,,,,,,,,,,
"241109",,,,,,,,,,,
"240556",,,,,,,,,,,
"240003",,,,,,,,,,,
"239450",,,,,,,,,,,
"238897",,,,,,,,,,,
"238344",,,,,,,,,,,
"237791",,,,,,,,,,,
"237238",,,,,,,,,,,
"236685",,,,,,,,,,,
"236132",,,,,,,,,,,
"235579",,,,,,,,,,,
"235026",,,,,,,,,,,
"234473",,,,,,,,,,,
"233920",,,,,,,,,,,
"233367",,,,,,,,,,,
"232814",,,,,,,,,,,
"232261",,,,,,,,,,,
"231708",,,,,,,,,,,
"231155",,,,,,,,,,,
"230602",,,,,,,,,,,
"230049",,,,,,,,,,,
"229496",,,,,,,,,,,
"228943",,,,,,,,,,,
"228390",,,,,,,,,,,
"227837",,,,,,,,,,,
"227284",,,,,,,,,,,
"226731",,,,,,,,,,,
"226178",,,,,,,,,,,
"225625",,,,,,,,,,,
"225072",,,,,,,,,,,
"224519",,,,,,,,,,,
"223966",,,,,,,,,,,
"223413",,,,,,,,,,,
"222860",,,,,,,,,,,
"222307",,,,,,,,,,,
"221754",,,,,,,,,,,
"221201",,,,,,,,,,,
"220648",,,,,,,,,,,
"220095",,,,,,,,,,,
"219542",,,,,,,,,,,
"218989",,,,,,,,,,,
"218436",,,,,,,,,,,
"217883",,,,,,,,,,,
"217330",,,,,,,,,,,
"216777",,,,,,,,,,,
"216224",,,,,,,,,,,
"215671",,,,,,,,,,,
"215118",,,,,,,,,,,
"214565",,,,,,,,,,,
"214012",,,,,,,,,,,
"213459",,,,,,,,,,,
"212906",,,,,,,,,,,
"212353",,,,,,,,,,,
"211800",,,,,,,,,,,
"211247",,,,,,,,,,,
"210694",,,,,,,,,,,
"210141",,,,,,,,,,,
"209588",,,,,,,,,,,
"209035",,,,,,,,,,,
"208482",,,,,,,,,,,
"207929",,,,,,,,,,,
"207376",,,,,,,,,,,
"206823",,,,,,,,,,,
