Watershed	Plan_Type	Coordinating_Entity	Acres	Baseline_Total_Volume	Total_Volume_2022	Total_pct__Savings	April_pct_conserved	May_pct_conserved	June_pct_conserved	July_pct_conserved	Aug_pct_conserved	Sept_pct_conserved	Oct_pct_conserved	APN1	APN2	APN3	APN4	APN5	APN6	APN7	APN8	APN9	APN10	APN11	APN12	APN13	APN14	APN15	APN16	APN17	APN18	APN19	APN20	APN21	APN22	APN23	APN24	APN25	APN26	APN27	APN28	APN29	APN30	Acres_Converted_to_Grain	Replanting_if_converted_to_grain	Acres_Converted_to_grass	Acres_converted_to_Alfafa	Acres_Converted_to_Wheat	Acres_Converted_to_Bluegrass	Acres_installed_with_LESA	apply_compost_and_biochar	Acres_converted_to_LEPA	Num_pivots_installed_with_iWob	Acres_VFD_installed	Num_Nelson_flow_control_valves_installed	Acres_Num_sprinklers_reduced	Num_inline_flow_meter_installed	Num_soil_sensors_installed	Acres_Revolutions_reduced	Acres_nozzle_size_reduced	Acres_pressure_reduced	Acres_Revolutions_reduced	Acres_set_time_reduced	Acres_passes_reduced	Acres_sets_per_pass_reduced	Acres_application_rate_reduced	Acres_wheel_line_rotated_with_Pivot	Acres_converted_to_Pivots	Acres_converted_to_Wheel_line	pct_Reservoir_capacity	Acres_one_pump_ceased	Acres_corners_shutoff_early_or_completely	Acres_pivot_off_1_d_per_wk	Acres_dairy_pump_off_1_d_per_wk	Acres_Fallowed_all_year	Acres_1st_cutting_only	Acres_irrigation_ceased_by_June	Acres_irrigation_ceased_by_July_1	Acres_fallowed_by_Aug_1	Acres_fallowed_by_Sept_1	Acres_fallowed_by_Sept_10_15	Acres_irrigation_ceased_by_Oct_1	Acres_fallowed_by_Oct_31	Acres_3rd_crop_fallowed	Acres_4th_crop_fallowed	Acres_Cover_crops_fallowed	Forgo_surface_water_use
Scott	Groundwater	CDFW	116	460	290	37.0	31.1	31.1	31.1	31.1	31.1	79.2	0.0	024-200-100	024-190-080																																							24.1						26			24.1																						116		
Scott	Groundwater	CDFW	277	700	486	30.0	22.0	18.2	25.0	40.8	40.8	33.9	0.0	023-220-080	023-220-550	024-110-400	024-110-630	024-110-650	024-110-660	024-180-480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	No																		60																								
Scott	Groundwater	CDFW	1541.5	0	0	0.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	014-100-100	014-130-370	014-130-390	014-130-490	014-361-380	014-361-460	014-361-470	014-130-210	014-130-460	014-130-470	014-380-060	014-100-080	014-370-040	014-370-050	014-130-560	014-130-561	014-390-230	014-390-240	024-020-170	024-020-180	024-180-370	024-180-430	024-180-440	023-220-440	024-220-450	024-180-450	024-180-460	0	0	0	158	No								11 pivots & 2 new sets of iWob	15 VFD drives	17			Yes*		2 Pivots*								11 Pivots*				Yes*															
Scott 	Groundwater		165	991	622	37.0	22.9		28.5	53.5	45.9	62.5	41.4	023-010-290	023-010-300	023-030-320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	No															120			120			125																5			40		
Scott 	Groundwater	CDFW	110	254	151	40.0	45.2	45.2	36.2	37.4	35.5			014-121-090-000	014-121-100-000	014-380-110-000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	44 nozzles*	64		59	5								YES*							5	5							
Scott 	Groundwater	Siskiyou RCD	697	2167	1517	44.0	41.3	13.0	35.3	51.2	45.4	56.6	95.8	023-071-040	023-071-080	023-071-090	023-071-110	023-071-150	023-071-160	023-071-170	023-071-200	023-071-390	023-071-600	023-090-240	023-090-330	023-090-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				112					336				10				90	100		83		5	65										10											
Scott 	Groundwater	Siskiyou RCD	515	477	334	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	21-303-060	21-030-330	21-030-370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	175 nozzles*			YES*									18.8			58.33												
Scott 	Groundwater	Siskiyou RCD	249	1079	698	35.3	29.0	28.9	28.9	34.0	34.0	63.2	34.5	024-170-070	024-170-340	024-170-370	024-170-400	024-170-500	024-170-520	024-170-530	024-200-060	024-200-180	024-200-190	024-200-210	024-200-220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	No																		22				70						112	64	26					112							
Scott 	Groundwater	Siskiyou RCD	560											023-171-140	023-171-210	023-171-220	023-171-230	023-171-250	023-171-260	023-171-270	023-171-280	023-171-400	023-171-430	023-171-460	023-550-210	023-550-230																		66	No																																	120			313	60					
Scott 	Groundwater	CDFW	27	108	76	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	023-090-350	023-090-360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				27																				27				
