 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     2.5000000E+01   8.2847784E+02   1.8347988E+05   4.8488840E-01   2.5000000E+01   1.8406927E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6976764E-02   4.6976764E-02
     2.6000000E+01   8.2847095E+02   1.7973894E+05   4.7796082E-01   2.5000000E+01   1.8031661E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6043653E-02   4.6043653E-02
     2.7000000E+01   8.2846490E+02   1.7596212E+05   4.7192249E-01   2.5000000E+01   1.7653066E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.5314610E-02   4.5314610E-02
     2.8000000E+01   8.2846106E+02   1.7191089E+05   4.6810016E-01   2.5000000E+01   1.7247523E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.4980146E-02   4.4980146E-02
     2.9000000E+01   8.2845422E+02   1.6885234E+05   4.6125805E-01   2.5000000E+01   1.6940405E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3973353E-02   4.3973353E-02
     3.0000000E+01   8.2844781E+02   1.6548139E+05   4.5485368E-01   2.5000000E+01   1.6602327E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3191105E-02   4.3191105E-02
     3.1000000E+01   8.2844232E+02   1.6211136E+05   4.4933632E-01   2.5000000E+01   1.6264561E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.2582422E-02   4.2582422E-02
     3.2000000E+01   8.2843848E+02   1.5984031E+05   4.4547781E-01   2.5000000E+01   1.6035945E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.1377515E-02   4.1377515E-02
     3.3000000E+01   8.2843433E+02   1.5737133E+05   4.4133249E-01   2.5000000E+01   1.5788062E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.0593408E-02   4.0593408E-02
     3.4000000E+01   8.2843005E+02   1.5485503E+05   4.3708447E-01   2.5000000E+01   1.5535597E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.9927043E-02   3.9927043E-02
     3.5000000E+01   8.2842578E+02   1.5234361E+05   4.3281829E-01   2.5000000E+01   1.5283692E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.9320443E-02   3.9320443E-02
     3.6000000E+01   8.2842157E+02   1.4986131E+05   4.2859223E-01   2.5000000E+01   1.5034755E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.8755212E-02   3.8755212E-02
     3.7000000E+01   8.2841742E+02   1.4742280E+05   4.2443386E-01   2.5000000E+01   1.4790233E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.8221940E-02   3.8221940E-02
     3.8000000E+01   8.2841327E+02   1.4504695E+05   4.2028433E-01   2.5000000E+01   1.4551997E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.7701912E-02   3.7701912E-02
     3.9000000E+01   8.2840918E+02   1.4273022E+05   4.1622922E-01   2.5000000E+01   1.4319708E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.7210219E-02   3.7210219E-02
     4.0000000E+01   8.2840527E+02   1.4048094E+05   4.1228050E-01   2.5000000E+01   1.4094192E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.6742527E-02   3.6742527E-02
     4.1000000E+01   8.2840216E+02   1.3817352E+05   4.0919092E-01   2.5000000E+01   1.3863067E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.6437649E-02   3.6437649E-02
     4.2000000E+01   8.2839777E+02   1.3625180E+05   4.0479362E-01   2.5000000E+01   1.3670156E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5849262E-02   3.5849262E-02
     4.3000000E+01   8.2839410E+02   1.3420117E+05   4.0113389E-01   2.5000000E+01   1.3464609E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5461847E-02   3.5461847E-02
     4.4000000E+01   8.2839062E+02   1.3225209E+05   3.9762715E-01   2.5000000E+01   1.3269220E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5079002E-02   3.5079002E-02
     4.5000000E+01   8.2838721E+02   1.3038209E+05   3.9424729E-01   2.5000000E+01   1.3081759E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4712609E-02   3.4712609E-02
     4.6000000E+01   8.2838446E+02   1.2850234E+05   3.9150399E-01   2.5000000E+01   1.2893469E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4460109E-02   3.4460109E-02
     4.7000000E+01   8.2838135E+02   1.2681682E+05   3.8835713E-01   2.5000000E+01   1.2724466E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4100592E-02   3.4100592E-02
     4.8000000E+01   8.2837787E+02   1.2524439E+05   3.8485885E-01   2.5000000E+01   1.2566708E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3690792E-02   3.3690792E-02
     4.9000000E+01   8.2837488E+02   1.2363488E+05   3.8188711E-01   2.5000000E+01   1.2405392E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3399634E-02   3.3399634E-02
     5.0000000E+01   8.2837201E+02   1.2210737E+05   3.7905762E-01   2.5000000E+01   1.2252281E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3113241E-02   3.3113241E-02
     5.1000000E+01   8.2837000E+02   1.2050875E+05   3.7704271E-01   2.5000000E+01   1.2092241E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2970380E-02   3.2970380E-02
     5.2000000E+01   8.2836768E+02   1.1909884E+05   3.7470934E-01   2.5000000E+01   1.1950942E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2725483E-02   3.2725483E-02
     5.3000000E+01   8.2836475E+02   1.1791020E+05   3.7178865E-01   2.5000000E+01   1.1831641E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2378115E-02   3.2378115E-02
     5.4000000E+01   8.2836182E+02   1.1667177E+05   3.6884570E-01   2.5000000E+01   1.1707395E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2055452E-02   3.2055452E-02
     5.5000000E+01   8.2835944E+02   1.1539670E+05   3.6642501E-01   2.5000000E+01   1.1579612E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1836275E-02   3.1836275E-02
     5.6000000E+01   8.2835718E+02   1.1418499E+05   3.6416924E-01   2.5000000E+01   1.1458175E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1623766E-02   3.1623766E-02
     5.7000000E+01   8.2835498E+02   1.1301982E+05   3.6202568E-01   2.5000000E+01   1.1341402E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1420402E-02   3.1420402E-02
     5.8000000E+01   8.2835278E+02   1.1192674E+05   3.5978127E-01   2.5000000E+01   1.1231805E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1189688E-02   3.1189688E-02
     5.9000000E+01   8.2835071E+02   1.1085152E+05   3.5770586E-01   2.5000000E+01   1.1124037E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0993160E-02   3.0993160E-02
     6.0000000E+01   8.2834869E+02   1.0981921E+05   3.5570577E-01   2.5000000E+01   1.1020566E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0801743E-02   3.0801743E-02
