SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	WHC	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag
26	1	1	2	220541.8985	2	0.0788511713225	0.423543495	1.357228013	3	2008	FALSE
27	1	1	555	3142.79192	5	0.1283807291738	0	0.258464595	3	0	FALSE
28	3	1	2	36445.82037	2	0.150676385235	0.698322034	0.323123402	3	0	TRUE
29	1	1	2	99705.07081	2	0.0761299064716	0.402940913	2.904073877	3	0	FALSE
30	1	1	2	399878.0859	3	0.1389794286599	0.672937327	0.60132562	3	0	FALSE
31	1	1	2	125611.0901	3	0.1394357	0.674	0.314496	3	0	FALSE
32	4	1	2	151733.092	2	0.1394357	0.674	0.314496	3	2008	FALSE
33	1	1	2	70676.24113	5	0.082021	0	1.1016	3	0	FALSE
34	6	1	2	5964.594312	2	0.0952852507525	0.406918982	0.914870816	3	2006	FALSE
35	1	1	2	32248.17001	2	0.1216455107824	0.626339245	0.726350818	3	0	FALSE
36	1	1	2	183096.7379	2	0.1394357	0.674	0.314496	3	0	FALSE
37	1	1	2	8908.316552	3	0.0561556669873	0.190553604	10.901088	3	0	FALSE
38	1	1	2	32625.08933	2	0.082021	0.445825	1.1016	3	0	TRUE
39	1	1	2	209849.1138	2	0.082021	0.445825	1.1016	3	0	TRUE
40	1	1	3	143624.218	2	0.1491406002449	0.621080817	0	3	-999	FALSE
41	1	1	2	58773.15189	3	0.082021	0.445825	1.1016	3	2008	TRUE
42	1	1	2	225940.9648	2	0.082021	0.311	1.1016	3	1996	FALSE
43	6	1	2	313095.7342	2	0.0805912492981	0.435974702	1.557759275	3	0	FALSE
44	1	1	2	26238.9668	2	0.082021	0.445825	1.1016	3	0	TRUE
45	1	1	2	110147.4836	2	0.082021	0.445825	1.1016	3	0	FALSE
46	1	1	2	323880.5508	2	0.1228854025544	0.540124721	0	3	2001	FALSE
47	6	1	2	3132.268672	2	0.1394357	0.674	0.314496	3	0	FALSE
48	1	1	2	9252.314639	2	0.164042	0.7229	0.333504	3	0	TRUE
49	1	1	2	606.6406441	5	0.082021	0	1.1016	3	0	FALSE
50	6	1	2	103673.2708	2	0.1441808723959	0.68472728	0.313538359	3	0	FALSE
51	5	1	555	73732.59043	999	0.082021	0	1.08237374	3	0	FALSE
52	1	1	2	104437.1735	2	0.082021	0.445825	1.1016	3	0	TRUE
53	5	1	2	28489.50397	2	0.164042	0.7229	0.333504	3	0	FALSE
54	1	1	2	70490.48048	5	0.082021	0	1.1016	3	0	FALSE
