Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
1990-10-01 8802.33729654597 9249.32907598867 628.744136377528 2436.55781689647 1185.8863005775 168.085554349819 877.850937066445 2458.89411360168 352.720932262783 2087.73558868747 2292.67392773925 402.396613465985 1869.15222599014 3600.28007382338 201.480861341147 1453.53682556296 2362.48380399415 4276.40688067015 571.606081674068 1967.95850961136 692.153763923471 3452.83044498805 1547.74041108749 58.2065588618457 530.530777720935
1990-10-02 7794.83201589734 7963.1573274773 556.673629372873 2130.24489524225 1114.66910708802 161.362132175826 680.242650814668 1889.35130280959 305.315989936048 1995.38834908646 2215.70424311271 371.347492056572 1763.1557084704 3546.81304149873 197.10084261634 1425.15247427379 2315.48868480984 3806.28465529083 560.308455589216 1456.9208884833 494.773340102293 3274.49353231393 1510.45697931948 52.9584265054498 352.066890450934
1990-10-03 6940.23853719272 7149.42188225211 497.518983838585 1935.9857420526 1053.85442500713 155.385756910056 546.789718959378 1526.31094838029 268.471554563289 1930.82466294707 2157.57329248569 349.24051761307 1679.08119798315 3500.5915415919 193.450827012334 1400.38067678505 2273.58470353717 3498.80893885434 557.080562422116 1084.98374784864 379.13389569549 3168.41688565347 1482.97239820844 51.0500147394877 250.219795251453
1990-10-04 6262.04411321069 6505.72436078865 447.147124104149 1777.69144468017 992.773011864472 149.409381644284 447.128538656437 1265.85739981462 238.902135092157 1886.10637213742 2101.3262152586 330.114258824873 1601.02921690044 3458.36757681216 190.530814529128 1379.47947265394 2238.14255115235 3278.12893376292 556.004598033082 840.116775880957 313.500697518655 3104.87768622766 1461.2237296771 50.3343603272519 195.361246246278
1990-10-05 5722.08195818604 5947.90210729693 405.816367398971 1639.7038346059 929.824481289507 143.183990742439 371.954134840706 1068.6568559006 216.607731522654 1848.53242364646 2043.464389403 314.217108663254 1526.34985228425 3416.39345797786 187.124133298723 1357.54611029411 2201.13389479471 3098.17418912666 555.466615838565 683.221459144238 270.46647600344 3061.80629614069 1444.25498829551 49.6187059150161 162.955352319171
1990-10-06 5321.82002541742 5661.16189629155 379.209692770012 1562.88094530924 879.679041678943 138.203678020963 329.347143752962 943.479691232811 202.527055584019 1816.25058057678 1993.13805714718 302.045853070764 1467.81086647222 3374.91903103443 183.717452068317 1334.32255014843 2162.55873446426 2967.59882279228 555.197624741307 586.978964532578 240.895474627064 3026.92202978927 1426.33026148396 49.1416029735255 141.428579924734
1990-10-07 5070.06603469682 5554.97994102163 361.127486711497 1520.55495853114 837.802264982886 133.721396571634 304.860367265753 868.532853788401 193.843972088528 1789.79005347047 1951.9619671197 291.861741248477 1420.83513711688 3338.69136894531 181.284108332313 1317.03389981775 2133.38259797068 2886.40283475981 554.928633644048 532.090666824364 223.82603480818 2995.77536340406 1408.40553467242 48.664500032035 129.392105037523
1990-10-08 4906.14458301285 5459.31831772547 346.920039094092 1480.43090170103 799.926454213206 129.488130758379 286.740152665218 813.784454804188 187.742345848454 1768.88623705648 1912.66975049217 282.422808340015 1379.64103598989 3302.96339874706 179.33743334351 1302.32564505881 2108.12272140912 2824.04227968783 554.65964254679 501.262992769067 213.488205058715 2969.61216364049 1395.26073501062 48.4259485612897 121.98504356847
1990-10-09 4775.74139831501 5285.61051071708 334.262494853131 1429.05253624785 768.98565104924 126.001911853346 271.313483478276 763.2883586537 183.752820999174 1747.71781537144 1872.03191000753 273.232268402829 1339.6514407438 3266.23604476704 176.904089607505 1286.06915295682 2081.29634087474 2765.24518490569 554.390651449531 483.71878802215 206.756594989297 2945.40675433543 1383.78890985123 47.9488456197992 115.966806124864
1990-10-10 4661.97501766867 5066.39615145016 323.671488447429 1373.51496978179 739.378503194067 122.266677312239 259.070095234672 717.576103191152 181.64071960838 1724.69715678896 1831.66319429432 264.041728465643 1301.10725255481 3228.25946105981 174.2274114979 1267.74834439746 2050.94532640155 2707.46622163492 554.121660352273 473.442896670384 202.188716727905 2920.84538312881 1372.31708469184 47.4717426783086 111.568863377614
1990-10-11 4571.94054868405 4909.5698073764 317.471874941653 1335.34818401656 712.972128079992 119.029474043279 251.968930053382 685.683831938212 180.232652014516 1700.35347185116 1795.86959969527 255.596367442283 1267.38108788943 3189.7831854617 171.550733388296 1248.39537760938 2018.63618196234 2656.81417894382 553.852669255015 467.177109260771 200.024984919878 2894.50420241447 1359.17228503004 47.2331912075634 109.022685997626
1990-10-12 4507.59526242601 4789.19763688608 313.597116500542 1304.76582362776 689.766525707018 116.041286410393 248.540781345172 663.359242061153 179.059262352963 1677.59741853974 1764.38200143896 247.647792361474 1238.23204557151 3154.05521526345 169.360724025892 1231.1067272787 1990.04748445856 2618.6342472671 553.583678157756 463.167005318618 199.063326338532 2867.45109789703 1345.07149993829 46.7560882660728 108.096803313995
1990-10-13 4457.44019138838 4674.94193847352 311.013944206468 1276.38539318696 669.494965013386 113.551130049655 246.336971461323 644.489648236498 177.88587269141 1656.69360212575 1735.04740135403 241.189575108315 1212.45561972011 3119.07678290153 166.927380289888 1214.59219561954 1962.43785193778 2588.09030192572 553.045695963239 460.911321851158 198.342082402523 2841.99982193656 1332.64368934895 46.5175367953275 107.633861972179
1990-10-14 4414.38022796095 4611.57528774793 308.947406371209 1260.23790690167 654.024563431404 111.559004961065 244.622897107219 630.403895099783 176.947160962168 1635.78978571177 1707.32754989762 235.973322711534 1190.29271151145 3084.34819648506 164.737370927484 1197.56158484604 1934.2407804272 2564.16421140831 552.776704865981 459.156901376466 197.86125311185 2817.08248882839 1320.69387147459 46.2789853245823 107.402391301272
1990-10-15 4375.7241244295 4531.81649185394 307.397502994765 1238.95258407107 640.688010343488 110.064911144623 242.908822753114 617.912755525714 175.773771300615 1616.73820619523 1681.22244706974 230.757070314753 1170.05701271222 3051.36853168668 162.790695938681 1182.59529052992 1909.37252985884 2545.3287784478 552.507713768723 458.154375390927 197.380423821177 2792.16515572024 1308.50505724274 45.8018823830917 107.170920630363
1990-10-16 4340.73790414472 4463.55666346614 306.105916847728 1223.294415552 629.21857468788 108.570817328179 241.194748399009 606.484691660078 174.835059571373 1597.95123194976 1654.57909469901 225.789210889247 1151.0258197939 3017.13963716108 160.600686576277 1166.59683798512 1882.74196232107 2528.52960851004 552.238722671464 457.15184940539 196.659179885168 2768.67167021825 1298.22821387079 45.5633309123465 107.170920630363
1990-10-17 4310.88952040525 4480.92744416698 305.072647930098 1227.9429343311 620.416449649855 107.32573914781 239.725541809777 599.840468482382 174.131025774441 1579.16425770428 1631.16523958534 221.566530377567 1134.88544098976 2984.40981830814 158.654011587474 1151.11446455465 1857.4820857595 2515.03936598427 551.969731574206 456.149323419851 196.178350594495 2744.64424186396 1286.99538506888 45.3247794416012 106.939449959456
1990-10-18 4501.23413146514 5303.71526806725 348.98657692935 1428.56321848163 650.557059628546 110.811958052844 284.046607251625 710.666111086349 194.548005885461 1619.38425890587 1629.2813661854 227.031175745624 1140.18526686574 2964.92183456364 160.357352202677 1162.98428418467 1886.46240925649 2559.07355385141 552.238722671464 455.898691923467 196.659179885168 2736.81308002996 1285.32241056648 45.3247794416012 107.633861972179
1990-10-19 7834.71141384434 19587.8794995848 1101.98130065182 5268.48438889935 1336.58935047094 186.761727055355 2021.38339901911 4106.66146167025 648.649804906409 5462.24661055454 2326.58364893835 595.397952146893 2054.88703282586 3700.71814389118 227.274304942792 2322.87209368326 5749.65701920266 6227.91045510607 611.954746262826 560.913288908586 262.773207352676 3532.3879299834 1618.24433654623 52.4813235639593 168.047707079144
1990-10-20 10580.5180589924 19902.5108232648 748.08669636373 4722.40576179694 1137.60797839924 154.38969436576 1676.60958607921 4833.53947731018 491.180912326017 5943.56359861822 2138.73455848619 487.098616670861 1757.61498141823 3266.73573665793 170.090727146694 1673.38652827548 4342.15319963283 7396.21636441361 1236.28308299954 1697.27649351606 928.000530998471 3619.77657681273 1994.42460323118 115.220360369965 756.677623197966
1990-10-21 8974.08783248947 17093.0928685081 599.554289454495 3961.27197644049 995.440322482055 144.678084558881 1286.04550110822 3850.99175379252 390.738757297095 3340.90615244206 2004.44129754689 413.822690144648 1600.30651337189 3050.61899385034 156.22066785147 1198.07766396039 2597.26358691905 5735.64386935426 960.567208309692 1818.58213776617 924.634725963762 3436.81215941852 1798.44759009162 98.7603088885419 758.066447223413
1990-10-22 8968.70533706104 19854.3130232921 809.566196962684 4813.41886631401 1163.21416032803 164.350319808712 1660.69318136252 4404.85419788524 497.047860633782 2780.73679360158 2130.39169057212 480.143613475153 1759.06038847532 3158.55244228142 163.277364685881 1199.62590130343 2566.52094645265 5650.12082239842 688.348217884208 1699.53217698352 755.382815646942 3410.82694060573 1693.52818915471 69.1799265161281 610.156688513257
1990-10-23 9504.50829107282 18166.1667298303 687.898781911814 4154.30783521459 1077.0600273801 152.39756927717 1359.75069833472 4158.48640245628 406.931534626524 2440.98362555663 2007.1325452611 413.822690144648 1613.31517688568 2962.67322105466 155.977333477869 1149.05014809726 2292.57856420749 5802.84054910529 639.122847085922 1722.5902746509 775.337231209863 3247.26244684572 1817.32830233311 68.9413750453829 636.775815667667
1990-10-24 8606.12087229143 15479.3228755119 606.012220189679 3462.41251377838 998.907826284913 146.172178375325 1025.75106704919 3297.39507862689 331.599918354832 1894.57374081143 1898.40613760684 357.18909269388 1495.03269938069 2848.99331587842 152.813986621063 1120.40775725092 1999.44650829541 5123.74683101542 585.593618731504 1504.03960980359 627.241809682646 3022.8284679215 1731.05061728022 57.2523529788647 506.920769288328
1990-10-25 7785.53497833915 13233.5989874415 552.282236472947 2944.95897599988 944.494689686216 141.191865653848 760.559277692713 2582.21089577972 277.389315991091 1655.89978631256 1800.98297035228 314.217108663254 1392.16789715131 2796.02597544466 151.11064600586 1106.98970027785 1881.95871033466 4519.23124613406 559.770473394699 1219.82349290353 456.066582203135 2837.72827911802 1568.77209054637 48.1873970905444 351.603949109119
1990-10-26 7098.04351679893 11558.4196147846 502.685328426733 2605.61710512576 894.349250075651 136.460568568446 588.662106752506 2058.91187830439 242.187626144506 1555.3497833086 1735.31652612545 288.632632621898 1320.13844547312 2761.29738902817 149.650639764258 1092.02340596173 1822.23574637128 4009.40189181097 552.507713768723 947.136424837153 334.41677166292 2714.03151833107 1422.02832704919 44.6091250293654 240.266556402413
1990-10-27 6481.0138135945 10319.2223718305 458.254764968667 2367.56401185934 847.671314267944 131.978287119117 472.839653968007 1698.79498207328 214.495630131859 1513.27754520958 1689.5653149838 270.996731661351 1260.63585495636 2731.06602962966 148.190633522656 1078.86338854584 1783.85639903743 3619.45752295277 550.355784990655 737.357862363298 266.379427032722 2635.54191904036 1334.79465656634 43.416367675639 176.149180560921
1990-10-28 6000.99308493189 9733.75366454726 439.139289992521 2265.29659871919 802.593764830789 127.745021305863 411.132977220241 1501.06290030505 199.476242463982 1497.93043948792 1647.85097541348 258.577083097586 1208.36029972504 2702.58359184924 146.973961654654 1070.3480831591 1767.40810732293 3336.16242991153 549.817802796139 600.011802344574 229.355571650918 2587.84302423332 1288.19036685633 43.1778162048938 141.660050595643
1990-10-29 5665.81041507064 9251.77566481978 410.466077528304 2156.91271350129 765.784878308141 124.25880240083 358.976143302485 1364.19190284451 187.272989983833 1482.58333376627 1611.51913127159 249.634936131676 1168.61160565513 2675.10053785058 145.513955413051 1056.93002618603 1746.8477426798 3139.40851533751 549.279820601622 521.564143976214 208.679912151988 2559.90001496202 1268.83166189985 42.9392647341485 123.836808935733
1990-10-30 5873.03648906515 11191.431290119 510.693162538362 2548.61158536104 844.470541526844 133.721396571634 469.65637302467 1624.64545141018 227.168238476629 1545.29478300821 1639.238982728 266.774051149672 1202.57867149669 2670.60331083263 148.920636643457 1079.63750721737 1829.87245323873 3289.32838038809 549.817802796139 481.713736051074 200.024984919878 2559.90001496202 1276.47954533945 42.9392647341485 116.42974746668
