Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1990-10-01	14195.5346366409	17426.118114006	5007.3199920932	4371.17258721136	10283.7044901344	587.864974038111	440.898730528583	2939.32487019056	9488.34855491095	1688.36591390242	14232.1806642008	19862.3526186898
1990-11-01	24295.8400734536	26563.1262569363	7843.93815005167	7860.88707307954	17199.8078225657	1014.74963345431	761.062225090732	5073.74816727155	17356.25097874	2955.50613131024	18967.5318188647	29331.4343871632
1990-12-01	28454.4997847166	29776.8356845911	8884.11677258806	9380.31732002709	19969.1314176453	1192.27761466757	894.208211000674	5961.38807333783	20844.7544767093	3491.00746188411	20209.3065874373	32488.0625069456
1991-01-01	49151.5994654628	45370.6682294242	13942.7326924221	17095.7180731051	33643.9158122679	2078.61196483863	1558.95897362898	10393.0598241932	38696.6855614611	6179.27283233565	26622.6445049133	47829.6775719059
1991-02-01	91325.4378102751	74854.3087599181	23656.3984376504	33419.1196094113	61051.1329046213	3896.05548622933	2922.041614672	19480.2774311467	76977.8433303672	11749.8304235159	38267.7880516133	76384.3110934903
1991-03-01	142235.571913861	102877.20517558	33484.7096482948	54905.9482128212	92748.2776486662	6124.03945278538	4593.02958958903	30620.1972639269	128816.484011991	18750.5376006786	45492.8284894442	101445.250514564
1991-04-01	113021.915273082	86828.2510792544	27862.4355162613	42519.1104438979	74588.1069046485	4844.6852631586	3633.51394736895	24223.426315793	98875.3512715135	14725.6320829322	41177.1891085741	87045.3298333213
1991-05-01	173503.478743958	119897.384425489	39446.0824393095	68294.1876639371	112115.398750032	7495.41188664859	5621.55891498644	37477.0594332429	161304.59080316	23076.3539150421	50287.3558818257	116760.821359645
1991-06-01	99003.1510386706	78405.976696371	24980.2662407724	36764.5733752408	65732.7914296497	4234.28950986214	3175.71713239661	21171.4475493107	85112.5176634164	12823.0748113039	38517.3178978996	79259.0947220665
1991-07-01	18342.0563252224	21229.9916956897	6185.4744209914	5791.75615751735	13133.0001027806	762.875360000374	572.156520000281	3814.37680000187	12681.1027552679	2206.64512039858	16195.3909856021	23811.3144840356
