Polygon_ID	Well_ID	
1753	65227	
83	65227	
1712	65234	
247	65234	
1718	65234	
452	65234	
1717	65234	
1720	65234	
294	65234	
30	65236	
1683	65236	
2029	70933	
1759	70933	
1761	70933	
1760	70933	
1758	70933	
1674	70937	
658	70937	
612	107306	
57	107306	
546	107306	
169	107306	
197	107306	
520	107306	
476	112528	
351	112528	
117	112528	
289	112528	
211	112528	
259	112528	
56	112536	
1719	112536	
390	112536	
1863	112537	
1865	112537	
1854	112537	
1774	112537	
1795	112537	
1794	112537	
1775	112537	
1864	112537	
1777	112906	
1796	112906	
1855	112906	
1776	112906	
1779	112906	
1770	112943	
141	112943	
1567	112943	
251	112943	
218	112943	
1569	112943	
1768	112943	
1769	112943	
1568	112943	
1570	112943	
1771	112943	
549	112943	
171	113920	
232	113920	
288	114352	
17	114352	
270	114352	
1961	114353	
1942	114353	
1948	114353	
1934	114353	
1958	114353	
1947	114353	
1957	114353	
1963	114353	
1973	114353	
1962	114353	
1946	114353	
1960	114353	
1634	114355	
337	114355	
630	114361	
1669	114361	
508	114361	
73	114361	
160	114361	
47	114361	
359	114361	
484	114361	
1670	114361	
504	114366	
579	114366	
175	114366	
317	114366	
158	114366	
312	114366	
346	114366	
1726	114370	
1722	114370	
340	114370	
1723	114370	
592	114370	
458	115693	
260	115693	
16	115693	
237	115693	
610	115693	
183	115693	
634	115693	
28	115693	
481	115693	
5	115693	
88	115693	
48	115693	
248	115693	
1896	115700	
331	115700	
1895	115700	
1866	115700	
1868	115700	
1869	115700	
1871	115700	
393	115700	
1870	115700	
456	115700	
1867	115700	
2036	115700	
453	115700	
1874	115700	
1861	123508	
1797	123508	
1799	123508	
84	123508	
599	123508	
516	123508	
699	123508	
176	123519	
449	123519	
498	123519	
37	123519	
372	123519	
132	123519	
685	123519	
190	123519	
274	123524	
601	123524	
692	123524	
1788	123525	
1852	123525	
1787	123525	
1846	123525	
1789	123525	
1847	123525	
1850	123525	
1849	123525	
1851	123525	
65	123534	
1608	123534	
1645	123534	
482	123534	
2011	123547	
1981	123547	
486	123547	
1977	123547	
2010	123547	
1936	123547	
1938	123547	
2007	123547	
2008	123547	
2009	123547	
280	123549	
628	123549	
649	123549	
483	123549	
320	123549	
527	123549	
614	123549	
693	123550	
694	123550	
113	123550	
695	123550	
319	123550	
559	123550	
324	123550	
1571	123727	
1565	123727	
89	123727	
19	123727	
550	123727	
679	123727	
365	123728	
125	123728	
114	123728	
34	123728	
99	123728	
506	123728	
400	123728	
1563	123728	
646	123728	
185	123728	
238	123728	
421	123728	
382	123728	
25	123728	
343	123728	
1564	123728	
338	123728	
1562	123728	
607	123728	
199	123728	
398	123728	
304	126221	
1733	126221	
1732	126221	
931	126221	
2013	126236	
1843	126236	
2040	126236	
1842	126236	
1964	126236	
1971	126236	
1965	126236	
2014	126236	
1985	126236	
1972	126236	
2015	126236	
1984	126236	
163	126241	
438	126241	
41	126241	
407	126241	
210	126241	
233	126241	
605	126243	
50	126243	
1510	128015	
1520	128015	
691	128015	
1519	128015	
1516	128015	
1527	128015	
1517	128015	
305	128015	
1524	128015	
1515	128015	
1512	128015	
1526	128015	
174	128015	
1507	128015	
140	128015	
1518	128015	
1522	128015	
1529	128015	
1505	128015	
1513	128015	
23	128015	
1525	128015	
1921	128015	
1514	128015	
1528	128015	
1521	128015	
1511	128015	
1523	128015	
235	128017	
1754	128017	
455	128017	
1884	128026	
445	128026	
621	128026	
704	128026	
1880	128026	
434	128026	
1882	128026	
1881	128026	
499	128026	
418	128026	
401	128026	
1883	128026	
32	128026	
139	128026	
245	128026	
619	128026	
617	128026	
76	128026	
314	128026	
426	128026	
219	128026	
675	129401	
660	129401	
1992	133103	
1993	133103	
1995	133103	
1986	133103	
1988	133103	
93	133103	
118	133103	
460	133103	
594	133103	
10	133103	
1987	133103	
620	133103	
1994	133103	
243	133104	
287	133104	
396	133104	
1656	133104	
1657	133104	
155	133104	
1573	133104	
1658	133104	
1659	133104	
419	133108	
1772	133108	
1844	133108	
1845	133108	
1848	133108	
1853	133108	
616	133108	
1773	133108	
1790	133108	
184	133108	
389	133108	
207	133120	
698	133120	
1781	133120	
1782	133120	
1830	133120	
1831	133120	
1834	133120	
1835	133120	
1840	133120	
1841	133120	
1633	133138	
1635	133138	
696	133138	
130	133138	
154	133138	
297	133138	
415	133138	
639	133138	
643	133138	
1978	133140	
1979	133140	
1980	133140	
1982	133140	
1983	133140	
1991	133140	
2006	133140	
2039	133140	
2043	133140	
2045	133140	
97	133140	
101	133140	
122	133140	
286	133140	
361	133140	
417	133140	
468	133140	
533	133140	
1976	133140	
603	134575	
1673	134575	
1692	134575	
325	141877	
1698	141877	
1699	141877	
1700	141877	
1696	141877	
1713	212708	
1714	212708	
1710	212708	
295	212708	
342	212708	
1709	212708	
161	212708	
256	212708	
333	212709	
358	212709	
638	212709	
1968	212715	
1969	212715	
1959	212715	
1967	212715	
1966	212715	
1970	212715	
1975	212715	
1989	212715	
2038	212715	
13	213884	
54	213884	
510	213884	
629	213884	
1908	278171	
1915	278171	
1917	278171	
1924	278171	
1926	278171	
2012	278171	
1918	278171	
1920	278171	
1922	278171	
1919	278171	
1923	278171	
1925	278171	
540	278171	
1916	278171	
7	280014	
9	280014	
138	280014	
344	280014	
633	280014	
568	280014	
589	280014	
283	280014	
509	280014	
544	280014	
513	280014	
1816	333898	
1817	333898	
1818	333898	
1819	333898	
1826	333898	
1836	333898	
1837	333898	
1825	333898	
1839	333898	
1807	333898	
1808	333898	
1814	333898	
1820	333898	
1809	333898	
1828	333898	
1827	333898	
1829	333898	
1813	333898	
1838	333898	
1821	333898	
1810	333898	
1822	333898	
1823	333898	
1812	333898	
1824	333898	
1811	333898	
1791	333898	
1806	333898	
1815	333898	
1792	333898	
1832	333898	
1833	333898	
1793	333898	
1619	378163	
1906	378170	
1907	378170	
1956	378170	
1506	378170	
1508	378170	
1904	378170	
1905	378170	
1903	378170	
1509	378170	
306	378172	
1640	378172	
61	378174	
18	378174	
433	378174	
466	378174	
522	378174	
582	378174	
584	378174	
1873	378174	
1878	378174	
1879	378174	
1885	378174	
1886	378174	
87	378174	
186	378174	
230	378174	
276	378174	
385	378174	
2035	378174	
1912	378175	
1953	378175	
1949	378175	
1911	378175	
1910	378175	
1951	378175	
1952	378175	
1954	378175	
1955	378175	
1943	378175	
1944	378175	
1950	378175	
1913	378175	
1933	378175	
1940	378175	
1941	378175	
1909	378175	
1945	378175	
1689	378184	
96	378184	
551	378184	
674	378184	
1685	378184	
1686	378184	
92	378184	
64	378184	
200	378184	
253	378184	
451	378184	
1688	378184	
554	378184	
412	493810	
1739	493810	
580	493810	
1746	493810	
1747	493810	
1748	493810	
1749	493810	
444	493810	
1745	493810	
268	493825	
687	493825	
1627	493825	
128	493828	
147	493828	
150	493828	
329	493828	
656	493828	
652	493828	
1558	493828	
1680	493828	
1557	493828	
43	508685	
1767	508685	
384	508685	
131	508690	
310	508690	
369	508690	
145	508690	
1729	508692	
1730	508692	
1721	508692	
1731	508692	
1592	508713	
1589	508713	
1591	508713	
221	508713	
663	508737	
1889	508737	
535	508737	
75	508737	
345	508737	
173	508738	
368	508738	
413	508738	
100	508738	
1616	508740	
81	508740	
202	508740	
642	508743	
647	508743	
255	508743	
271	508743	
322	508743	
53	508743	
123	508743	
151	508743	
354	508743	
378	508743	
576	508743	
613	508743	
225	508743	
1660	508743	
637	553349	
487	553349	
494	553349	
524	553349	
564	553349	
626	553349	
149	553349	
240	553349	
300	553349	
394	553349	
432	553349	
467	553349	
135	553349	
588	553349	
2	553349	
52	553349	
133	553351	
590	553351	
134	553351	
165	553351	
204	553351	
631	553351	
668	553351	
670	553351	
672	553351	
681	553351	
427	553351	
462	553351	
534	553351	
553	553351	
624	553351	
206	553351	
264	553351	
275	553351	
299	553351	
8	553351	
78	553351	
380	553351	
403	553351	
422	553351	
1684	553354	
1681	553354	
541	553356	
1897	553356	
2037	553356	
116	553358	
258	553365	
375	553365	
1628	553365	
1629	553365	
622	553378	
680	553378	
36	553593	
189	553593	
278	553593	
316	553593	
436	553593	
659	553594	
664	553594	
144	553594	
252	553594	
298	553594	
463	553594	
485	553594	
555	553594	
557	553594	
627	553594	
669	553594	
1559	555009	
1676	555009	
480	555009	
1677	555009	
1744	563204	
266	563204	
602	563204	
1725	563204	
242	563225	
77	563225	
1556	563225	
120	563235	
193	563235	
222	563235	
611	563235	
70	728657	
85	728657	
1678	728657	
1679	728657	
567	728657	
112	750446	
1630	750447	
72	750447	
1618	750447	
1805	750462	
336	750462	
350	750462	
609	750462	
702	750462	
1617	750462	
108	750462	
1778	750462	
1766	750468	
82	750468	
111	750468	
250	750468	
428	750468	
496	750468	
623	750468	
673	750468	
1764	750468	
1765	750468	
2031	750468	
2030	750468	
1609	750469	
1606	750469	
1607	750469	
2044	750469	
1612	750469	
1621	750469	
1672	750473	
26	750473	
265	750473	
313	750473	
367	750473	
532	750473	
1671	750473	
349	750474	
416	750474	
1560	750474	
119	750474	
572	750474	
1561	750474	
129	750474	
409	750474	
459	755915	
500	755915	
591	755915	
1691	755915	
192	755915	
353	755915	
397	755915	
303	755917	
431	755917	
257	755930	
565	755930	
80	755930	
301	755930	
327	755930	
411	755930	
461	755930	
536	755930	
556	755930	
566	755930	
648	755930	
662	755930	
676	755930	
1	755930	
15	755930	
46	755930	
110	755930	
146	755930	
168	755930	
195	755930	
231	755930	
162	784275	
285	784275	
414	784275	
488	784275	
105	784275	
181	784300	
575	784300	
1937	784300	
1935	784300	
1939	784300	
21	784311	
502	784311	
437	784311	
1610	784311	
157	784335	
406	784335	
569	784335	
570	784335	
49	784335	
137	784335	
615	784335	
655	784335	
689	784335	
473	784336	
600	784336	
1898	784336	
671	784336	
387	784336	
74	784336	
159	784336	
188	784336	
249	784336	
136	784369	
212	784369	
558	784369	
94	1074456	
153	1074456	
1711	1074456	
1728	1074456	
388	1074456	
489	1074456	
583	1074456	
1636	1074456	
1637	1074456	
521	1077523	
465	1077523	
1693	1077523	
1690	1077523	
1694	1077523	
1695	1077523	
645	1077523	
347	1077524	
1701	1077524	
1704	1077524	
1707	1077524	
2025	1077524	
201	1077524	
529	1077524	
547	1077524	
172	1087537	
1682	1087537	
632	1087543	
1603	1087543	
1605	1087543	
1601	1087543	
493	1087551	
495	1087551	
497	1087551	
543	1087551	
657	1087551	
708	1087551	
1734	1087551	
1735	1087551	
1740	1087551	
2027	1087551	
323	1087551	
334	1087551	
307	1087564	
571	1087564	
27	1087564	
20	1087582	
24	1087582	
224	1087582	
381	1087582	
561	1087582	
1891	1087582	
318	1087582	
166	1087585	
321	1087585	
442	1087585	
51	1087585	
58	1087585	
447	1087585	
469	1087585	
577	1087585	
478	1087585	
578	1087585	
404	1087587	
1611	1087587	
1590	1087587	
1593	1087587	
1595	1087587	
1604	1087587	
457	1087587	
1576	1087588	
1584	1087588	
1587	1087588	
1572	1087588	
1578	1087588	
1583	1087588	
1582	1087588	
1581	1087588	
1577	1087588	
1579	1087588	
262	1087981	
1697	1087981	
606	1087981	
