layer	row	column	UTM_E	UTM_N
2	180	112	511127	4597380
2	184	84	508327	4596980
2	184	88	508727	4596980
2	184	92	509127	4596980
2	184	96	509527	4596980
2	184	100	509927	4596980
2	184	104	510327	4596980
2	184	108	510727	4596980
2	184	112	511127	4596980
2	188	88	508727	4596580
2	188	92	509127	4596580
2	188	96	509527	4596580
2	188	100	509927	4596580
2	188	104	510327	4596580
2	188	108	510727	4596580
2	188	112	511127	4596580
2	192	88	508727	4596180
2	192	92	509127	4596180
2	192	96	509527	4596180
2	192	100	509927	4596180
2	192	104	510327	4596180
2	192	108	510727	4596180
2	192	112	511127	4596180
2	196	88	508727	4595780
2	196	92	509127	4595780
2	196	96	509527	4595780
2	196	100	509927	4595780
2	196	104	510327	4595780
2	196	108	510727	4595780
2	196	112	511127	4595780
2	200	88	508727	4595380
2	200	92	509127	4595380
2	200	96	509527	4595380
2	200	100	509927	4595380
2	200	104	510327	4595380
2	200	108	510727	4595380
2	200	112	511127	4595380
2	204	88	508727	4594980
2	204	92	509127	4594980
2	204	96	509527	4594980
2	204	100	509927	4594980
2	204	104	510327	4594980
2	204	108	510727	4594980
2	204	112	511127	4594980
2	208	88	508727	4594580
2	208	92	509127	4594580
2	208	96	509527	4594580
2	208	100	509927	4594580
2	208	104	510327	4594580
2	208	108	510727	4594580
2	208	112	511127	4594580
2	212	88	508727	4594180
2	212	92	509127	4594180
2	212	96	509527	4594180
2	212	100	509927	4594180
2	212	104	510327	4594180
2	212	108	510727	4594180
2	212	112	511127	4594180
2	216	88	508727	4593780
2	216	92	509127	4593780
2	216	96	509527	4593780
2	216	100	509927	4593780
2	216	104	510327	4593780
2	216	108	510727	4593780
2	216	112	511127	4593780
2	220	88	508727	4593380
2	220	92	509127	4593380
2	220	96	509527	4593380
2	220	100	509927	4593380
2	220	104	510327	4593380
2	220	108	510727	4593380
2	224	88	508727	4592980
2	224	92	509127	4592980
2	224	96	509527	4592980
2	224	100	509927	4592980
2	224	104	510327	4592980
2	228	92	509127	4592580
2	228	96	509527	4592580
2	228	100	509927	4592580
2	228	104	510327	4592580
2	168	112	511127	4598580
2	168	116	511527	4598580
2	168	120	511927	4598580
2	168	124	512327	4598580
2	168	136	513527	4598580
2	172	112	511127	4598180
2	172	116	511527	4598180
2	172	120	511927	4598180
2	172	124	512327	4598180
2	172	128	512727	4598180
2	176	112	511127	4597780
2	176	116	511527	4597780
2	176	120	511927	4597780
2	176	124	512327	4597780
2	176	128	512727	4597780
2	176	132	513127	4597780
2	180	116	511527	4597380
2	180	120	511927	4597380
2	180	128	512727	4597380
2	184	116	511527	4596980
2	184	120	511927	4596980
2	184	128	512727	4596980
2	184	132	513127	4596980
2	188	116	511527	4596580
2	188	120	511927	4596580
2	188	128	512727	4596580
2	188	132	513127	4596580
2	192	116	511527	4596180
2	192	120	511927	4596180
2	192	128	512727	4596180
2	192	132	513127	4596180
2	196	116	511527	4595780
2	196	120	511927	4595780
2	196	128	512727	4595780
2	196	132	513127	4595780
2	200	116	511527	4595380
2	200	128	512727	4595380
2	200	132	513127	4595380
2	204	116	511527	4594980
2	204	120	511927	4594980
2	204	128	512727	4594980
2	208	116	511527	4594580
2	208	120	511927	4594580
