Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1990-10-01	14228.485049641	17457.2742422567	5016.9015291032	4382.31529718935	10283.7044901344	587.864974038111	440.898730528583	2939.32487019056	9513.27958425651	1688.36591390242	14248.8288863885	19862.3526186898
1990-11-01	24360.5262270672	26617.5985095374	7861.15371642736	7883.87193956406	17199.8078225657	1014.74963345431	761.062225090732	5073.74816727155	17408.5610789683	2955.50613131024	18992.979069464	29331.4343871632
1990-12-01	28533.9305436168	29840.8572989811	8904.56025390179	9409.07468246179	19969.1314176453	1192.27761466757	894.208211000674	5961.38807333783	20910.6245962038	3491.00746188411	20237.7332543754	32488.0625069456
1991-01-01	49306.9848997054	45481.1370584539	13979.0663674957	17155.0736628249	33643.9158122679	2078.61196483863	1558.95897362898	10393.0598241932	38835.1731636188	6179.27283233565	26665.0498780531	47829.6775719059
1991-02-01	91646.1539778723	75056.7599771753	23724.8767693689	33548.0137482405	61051.1329046213	3896.05548622933	2922.041614672	19480.2774311467	77283.8770744892	11749.8304235159	38335.4932264092	76384.3110934903
1991-03-01	142787.547551215	103184.664026862	33591.8170928301	55139.9655291177	92748.2776486662	6124.03945278538	4593.02958958903	30620.1972639269	129382.421088643	18750.5376006786	45581.7638424427	101445.250514564
1991-04-01	113440.415461008	87075.8558726435	27947.4749315067	42692.0244996664	74588.1069046485	4844.6852631586	3633.51394736895	24223.426315793	99289.8287857194	14725.6320829322	41254.0010240228	87045.3298333213
1991-05-01	174200.147345074	120268.131067649	39576.6328518506	68595.3644991359	112115.398750032	7495.41188664859	5621.55891498644	37477.0594332429	162037.843451846	23076.3539150421	50389.0702282431	116760.821359645
1991-06-01	99360.8648587207	78624.1518691766	25054.6632310299	36910.464025504	65732.7914296497	4234.28950986214	3175.71713239661	21171.4475493107	85460.6605445469	12823.0748113039	38587.4297225767	79259.0947220665
1991-07-01	18387.8102804402	21270.7818681656	6198.19385452416	5807.62255530669	13133.0001027806	762.875360000374	572.156520000281	3814.37680000187	12716.9110026662	2206.64512039858	16215.7492495539	23811.3144840356
1991-08-01	6365.79281770428	9393.9985225962	2584.76116359666	1811.91229497553	4775.48920886332	259.603952115303	194.702964086477	1298.01976057652	3828.08477640298	729.136853945567	9498.28425815977	11246.8273330761
1991-09-01	5731.42314887629	8729.59364523827	2384.12238687949	1609.45528563036	4327.11323658179	233.212479411636	174.909359558727	1166.06239705818	3384.58308975209	652.51362517375	9156.23035557305	10542.9772690037
1991-10-01	8485.29651515363	11722.356206016	3275.92811256526	2484.2404251794	6281.34892970331	347.654860418677	260.741145314007	1738.27430209338	5299.66055119098	984.25797449976	10979.4754305513	13781.2502340223
1991-11-01	19468.0697179603	22395.1569876763	6534.4110423276	6163.48375159595	13888.9111945476	808.011342547268	606.008506910451	4040.05671273634	13507.2034983484	2338.77871735355	16962.8342067929	25031.4282007231
