61
kx1	100	101
kx2	11	11.11
kx3	100	101
kx4	20	20.2
kx5	10	10.1
kx6	30	30.3
kx7	1000	1010
kx8	30	30.3
kx9	60	60.6
kvar1	100	101
kvar2	100	101
kvar3	100	101
kvar4	100	101
kvar5	100	101
kvar6	100	101
kvar7	1	1.01
kvar8	100	101
kvar9	100	101
sy1	0.1	0.101
sy2	0.15	0.1515
sy3	0.15	0.1515
sy4	0.1	0.101
sy5	0.15	0.1515
sy6	0.15	0.1515
sy7	0.3	0.303
sy8	0.15	0.1515
sy9	0.15	0.1515
ss1	1.00E-05	0.0000101
ss2	1.00E-05	0.0000101
ss3	1.00E-05	0.0000101
ss4	1.00E-05	0.0000101
ss5	1.00E-05	0.0000101
ss6	1.00E-05	0.0000101
ss7	1.00E-05	0.0000101
ss8	1.00E-05	0.0000101
ss9	1.00E-05	0.0000101
MFR5	2	2.02
MFR6	60	60.6
MFR7	70	70.7
MFR8	150	151.5
MFR9	5	5.05
MFR10	20	20.2
MFR11	90	90.9
FRMRSDitch	90	90.9
SVIDDitch	300	303
bedk1	10	10.1
bedk2	10	10.1
bedk3	10	10.1
rough1	0.035	0.03535
rough2	0.035	0.03535
rough3	0.035	0.03535
RD_Mult	1	1.01
EIE_Flood	0.7	0.707
EIE_WL_LU25	1.05	1.0605
EIE_CP_LU25	1.1	1.111
EIE_WL_LU2	0.85	0.8585
EIE_CP_LU2	0.95	0.9595
kc_alfalfa_mult	1	1.01
kc_grain_mult	1	1.01
kc_pasture_mult	1	1.01
kc_noirr	0.6	0.606
