61		
kx1	250	252.5
kx2	100	101
kx3	100	101
kx4	30	30.3
kx5	25	25.25
kx6	50	50.5
kx7	500	505
kx8	10	10.1
kx9	20	20.2
kvar1	71	71.71
kvar2	73	73.73
kvar3	92	92.92
kvar4	95	95.95
kvar5	10	10.1
kvar6	77	77.77
kvar7	55	55.55
kvar8	94	94.94
kvar9	46	46.46
sy1	0.12	0.1212
sy2	0.08	0.0808
sy3	0.11	0.1111
sy4	0.1	0.101
sy5	0.13	0.1313
sy6	0.09	0.0909
sy7	0.25	0.2525
sy8	0.05	0.0505
sy9	0.07	0.0707
ss1	1.50E-05	0.00001515
ss2	9.00E-05	0.0000909
ss3	2.60E-04	0.0002626
ss4	3.10E-04	0.0003131
ss5	8.00E-05	0.0000808
ss6	2.00E-05	0.0000202
ss7	7.00E-05	0.0000707
ss8	3.00E-04	0.000303
ss9	1.00E-05	0.0000101
MFR5	7	7.07
MFR6	20	20.2
MFR7	30	30.3
MFR8	200	202
MFR9	10	10.1
MFR10	15	15.15
MFR11	120	121.2
FRMRSDitch	150	151.5
SVIDDitch	300	303
bedk1	10	10.1
bedk2	10	10.1
bedk3	10	10.1
rough1	0.035	0.03535
rough2	0.035	0.03535
rough3	0.035	0.03535
RD_Mult	1.2	1.212
EIE_Flood	0.55	0.5555
EIE_WL_LU25	1.1	1.111
EIE_CP_LU25	1.1	1.111
EIE_WL_LU2	0.95	0.9595
EIE_CP_LU2	0.99	0.9999
kc_alfalfa_mult	1.05	1.0605
kc_grain_mult	0.98	0.9898
kc_pasture_mult	0.95	0.9595
kc_noirr	0.65	0.6565
