61		
kx1	60	60.6
kx2	2	2.02
kx3	100	101
kx4	50	50.5
kx5	80	80.8
kx6	70	70.7
kx7	50	50.5
kx8	5	5.05
kx9	100	101
kvar1	50	50.5
kvar2	50	50.5
kvar3	50	50.5
kvar4	50	50.5
kvar5	50	50.5
kvar6	50	50.5
kvar7	1	1.01
kvar8	50	50.5
kvar9	50	50.5
sy1	0.05	0.0505
sy2	0.12	0.1212
sy3	0.1	0.101
sy4	0.11	0.1111
sy5	0.1	0.101
sy6	0.1	0.101
sy7	0.15	0.1515
sy8	0.06	0.0606
sy9	0.15	0.1515
ss1	2.00E-04	0.000202
ss2	2.00E-04	0.000202
ss3	2.00E-04	0.000202
ss4	2.00E-04	0.000202
ss5	2.00E-04	0.000202
ss6	2.00E-04	0.000202
ss7	2.00E-04	0.000202
ss8	2.00E-04	0.000202
ss9	2.00E-04	0.000202
MFR5	100	101
MFR6	5	5.05
MFR7	150	151.5
MFR8	20	20.2
MFR9	100	101
MFR10	2	2.02
MFR11	1	1.01
FRMRSDitch	40	40.4
SVIDDitch	50	50.5
bedk1	10	10.1
bedk2	10	10.1
bedk3	10	10.1
rough1	0.04	0.0404
rough2	0.04	0.0404
rough3	0.04	0.0404
RD_Mult	1.1	1.111
EIE_Flood	0.55	0.5555
EIE_WL_LU25	1.01	1.0201
EIE_CP_LU25	1.01	1.0201
EIE_WL_LU2	0.99	0.9999
EIE_CP_LU2	0.91	0.9191
kc_alfalfa_mult	0.96	0.9696
kc_grain_mult	1	1.01
kc_pasture_mult	0.96	0.9696
kc_noirr	0.79	0.7979
