row column SubId
104 7 444000391
105 7 444000391
106 7 444000391
107 7 444000391
108 8 444000391
109 8 444000391
110 8 444000391
111 8 444000391
112 9 444000391
113 9 444000391
114 9 444000391
115 10 444000391
116 11 444000391
116 12 444000391
116 13 444000391
117 14 444000391
389 145 444000484
390 146 444000484
391 146 444000484
392 146 444000484
393 147 444000484
394 147 444000484
395 148 444000484
396 148 444000484
397 149 444000484
121 35 444000561
122 34 444000561
123 34 444000561
124 34 444000561
125 34 444000561
126 34 444000561
126 38 444000561
127 34 444000561
127 38 444000561
127 39 444000561
128 35 444000561
128 38 444000561
128 39 444000561
129 35 444000561
129 38 444000561
129 39 444000561
129 44 444000561
129 45 444000561
129 46 444000561
129 47 444000561
130 36 444000561
130 37 444000561
130 40 444000561
130 43 444000561
130 48 444000561
131 41 444000561
131 42 444000561
131 48 444000561
132 49 444000561
133 49 444000561
134 50 444000561
135 50 444000561
136 48 444000561
136 50 444000561
137 44 444000561
137 45 444000561
137 46 444000561
137 47 444000561
137 49 444000561
137 50 444000561
138 43 444000561
138 49 444000561
139 42 444000561
140 41 444000561
140 42 444000561
141 38 444000561
141 39 444000561
141 40 444000561
142 37 444000561
143 36 444000561
144 35 444000561
144 36 444000561
145 34 444000561
146 34 444000561
147 19 444000561
147 33 444000561
148 20 444000561
148 33 444000561
149 21 444000561
149 32 444000561
150 21 444000561
150 32 444000561
151 21 444000561
151 32 444000561
152 22 444000561
152 32 444000561
153 22 444000561
153 31 444000561
154 23 444000561
154 24 444000561
154 25 444000561
154 31 444000561
155 26 444000561
155 30 444000561
156 27 444000561
156 29 444000561
157 27 444000561
157 29 444000561
158 27 444000561
158 29 444000561
159 26 444000561
159 29 444000561
160 26 444000561
160 29 444000561
161 26 444000561
161 29 444000561
162 26 444000561
162 29 444000561
163 26 444000561
163 28 444000561
164 26 444000561
164 28 444000561
165 26 444000561
165 27 444000561
219 190 444000562
220 190 444000562
220 191 444000562
221 147 444000562
221 189 444000562
221 190 444000562
222 145 444000562
222 146 444000562
222 148 444000562
222 152 444000562
222 153 444000562
222 154 444000562
222 184 444000562
222 189 444000562
222 190 444000562
223 138 444000562
223 139 444000562
223 140 444000562
223 141 444000562
223 142 444000562
223 145 444000562
223 148 444000562
223 152 444000562
223 154 444000562
223 155 444000562
223 183 444000562
223 185 444000562
223 188 444000562
223 190 444000562
224 138 444000562
224 143 444000562
224 144 444000562
224 149 444000562
224 150 444000562
224 151 444000562
224 156 444000562
224 157 444000562
224 182 444000562
224 186 444000562
224 187 444000562
224 189 444000562
225 138 444000562
225 158 444000562
225 159 444000562
225 160 444000562
225 161 444000562
225 181 444000562
225 188 444000562
226 138 444000562
226 162 444000562
226 163 444000562
226 164 444000562
226 165 444000562
226 179 444000562
226 180 444000562
226 186 444000562
226 187 444000562
227 139 444000562
227 166 444000562
227 167 444000562
227 168 444000562
227 169 444000562
227 170 444000562
227 171 444000562
227 172 444000562
227 173 444000562
227 174 444000562
227 175 444000562
227 176 444000562
227 177 444000562
227 178 444000562
227 185 444000562
228 139 444000562
228 162 444000562
228 163 444000562
228 164 444000562
228 165 444000562
228 166 444000562
228 167 444000562
228 168 444000562
228 169 444000562
228 170 444000562
228 171 444000562
228 172 444000562
228 182 444000562
228 183 444000562
228 184 444000562
229 138 444000562
229 159 444000562
229 160 444000562
229 161 444000562
229 172 444000562
229 173 444000562
229 174 444000562
229 175 444000562
229 176 444000562
229 177 444000562
229 178 444000562
229 179 444000562
229 182 444000562
230 138 444000562
230 156 444000562
230 157 444000562
230 158 444000562
230 180 444000562
230 181 444000562
231 138 444000562
231 150 444000562
231 151 444000562
231 152 444000562
231 153 444000562
231 154 444000562
231 155 444000562
231 180 444000562
231 181 444000562
232 137 444000562
232 148 444000562
232 149 444000562
232 180 444000562
232 182 444000562
233 131 444000562
233 134 444000562
233 135 444000562
233 136 444000562
233 147 444000562
233 181 444000562
233 183 444000562
234 131 444000562
234 132 444000562
234 133 444000562
234 182 444000562
234 183 444000562
234 184 444000562
105 33 444000576
106 32 444000576
107 32 444000576
108 32 444000576
109 32 444000576
110 33 444000576
111 33 444000576
112 34 444000576
112 35 444000576
112 36 444000576
112 37 444000576
113 37 444000576
114 37 444000576
115 37 444000576
116 37 444000576
117 36 444000576
118 15 444000576
118 36 444000576
119 16 444000576
119 35 444000576
120 17 444000576
120 35 444000576
121 17 444000576
122 18 444000576
123 19 444000576
124 19 444000576
125 19 444000576
126 20 444000576
127 20 444000576
128 20 444000576
129 20 444000576
130 19 444000576
131 19 444000576
132 18 444000576
133 17 444000576
134 16 444000576
135 15 444000576
136 14 444000576
137 14 444000576
138 14 444000576
139 14 444000576
140 14 444000576
141 14 444000576
315 122 444000578
315 123 444000578
315 124 444000578
315 125 444000578
315 126 444000578
315 127 444000578
316 119 444000578
