WELL_INFO_ID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,tex
16194,270,110,0,511043.13159614685,4588249.262003998,851.019570703125,855.323664,0.3048,6.096,Mixed_Fine
16194,270,110,0,511043.13159614685,4588249.262003998,844.923570703125,855.323664,6.096,12.4968,Mixed_Fine
16194,270,110,1,511043.13159614685,4588249.262003998,838.675170703125,855.323664,12.4968,18.5928,Very_Coarse
16197,188,78,0,507780.37036798423,4596469.980116027,854.2480073242187,860.855784,0.0,9.144,Mixed_Fine
16197,188,78,0,507780.37036798423,4596469.980116027,848.9140073242188,860.855784,9.144,10.668,Very_Coarse
16197,188,78,0,507780.37036798423,4596469.980116027,847.3900073242188,860.855784,10.668,12.192,Mixed_Fine
16197,188,78,0,507780.37036798423,4596469.980116027,846.3232073242187,860.855784,12.192,12.8016,Mixed_Coarse
16197,188,78,1,507780.37036798423,4596469.980116027,842.2084073242188,860.855784,12.8016,20.4216,Mixed_Fine
16197,188,78,1,507780.37036798423,4596469.980116027,837.1792073242187,860.855784,20.4216,22.86,Mixed_Fine
16197,188,78,1,507780.37036798423,4596469.980116027,834.4360073242187,860.855784,22.86,25.908,Mixed_Coarse
16197,188,78,1,507780.37036798423,4596469.980116027,830.1688073242187,860.855784,25.908,31.3944,Mixed_Coarse
16208,140,61,0,506173.72900747537,4601319.443509678,864.6060048828125,866.845104,0.0,3.048,Mixed_Fine
16208,140,61,0,506173.72900747537,4601319.443509678,856.9860048828125,866.845104,3.048,15.24,Mixed_Fine
16208,140,61,1,506173.72900747537,4601319.443509678,846.3180048828125,866.845104,15.24,24.384,Very_Coarse
16208,140,61,1,506173.72900747537,4601319.443509678,837.9360048828125,866.845104,24.384,32.004,Very_Coarse
16209,188,78,0,507780.37036798423,4596469.980116027,855.7720073242187,860.855784,0.0,6.096,Mixed_Fine
16209,188,78,0,507780.37036798423,4596469.980116027,850.4380073242188,860.855784,6.096,10.668,Mixed_Fine
16209,188,78,0,507780.37036798423,4596469.980116027,845.1040073242187,860.855784,10.668,16.764,Mixed_Coarse
16209,188,78,1,507780.37036798423,4596469.980116027,839.0080073242187,860.855784,16.764,22.86,Mixed_Coarse
16209,188,78,1,507780.37036798423,4596469.980116027,835.1980073242188,860.855784,22.86,24.384,Mixed_Coarse
16225,270,110,0,511043.13159614685,4588249.262003998,853.153170703125,855.323664,0.0,2.1336,Mixed_Fine
16225,270,110,0,511043.13159614685,4588249.262003998,849.952770703125,855.323664,2.1336,6.4008,Sand
16225,270,110,1,511043.13159614685,4588249.262003998,838.979970703125,855.323664,6.4008,24.0792,Mixed_Fine
16225,270,110,1,511043.13159614685,4588249.262003998,823.130370703125,855.323664,24.0792,38.1,Mixed_Coarse
16225,270,110,1,511043.13159614685,4588249.262003998,812.309970703125,855.323664,38.1,45.72,Mixed_Coarse
16245,222,187,0,518711.98216668563,4593045.132659265,977.5603829101562,974.91804,0.0,1.2192,Mixed_Fine
16245,222,187,0,518711.98216668563,4593045.132659265,975.1219829101562,974.91804,1.2192,4.8768,Mixed_Coarse
16245,222,187,0,518711.98216668563,4593045.132659265,970.8547829101562,974.91804,4.8768,9.7536,Mixed_Fine
16245,222,187,0,518711.98216668563,4593045.132659265,967.5019829101562,974.91804,9.7536,11.5824,Mixed_Fine
16245,222,187,0,518711.98216668563,4593045.132659265,964.9111829101563,974.91804,11.5824,14.9352,Mixed_Fine
16245,222,187,1,518711.98216668563,4593045.132659265,962.9299829101562,974.91804,14.9352,15.5448,Very_Coarse
16245,222,187,1,518711.98216668563,4593045.132659265,949.0615829101563,974.91804,15.5448,42.672,Fine
16246,190,66,0,506603.57971380255,4596266.697774695,875.1523975585937,881.109744,0.0,7.3152,Mixed_Coarse
16246,190,66,0,506603.57971380255,4596266.697774695,866.7703975585938,881.109744,7.3152,16.764,Mixed_Fine
16246,190,66,1,506603.57971380255,4596266.697774695,841.9291975585937,881.109744,16.764,56.9976,Mixed_Coarse
16246,190,66,1,506603.57971380255,4596266.697774695,813.7351975585938,881.109744,56.9976,73.152,Fine
16252,222,171,0,517079.2011685037,4593100.350642564,934.3780122070312,959.074536,0.0,9.144,Mixed_Fine
16252,222,171,1,517079.2011685037,4593100.350642564,923.7100122070312,959.074536,9.144,21.336,Very_Coarse
16252,222,171,1,517079.2011685037,4593100.350642564,914.5660122070312,959.074536,21.336,27.432,Very_Coarse
16252,222,171,1,517079.2011685037,4593100.350642564,906.1840122070313,959.074536,27.432,38.1,Very_Coarse
16252,222,171,1,517079.2011685037,4593100.350642564,899.3260122070312,959.074536,38.1,41.148,Very_Coarse
16252,222,171,1,517079.2011685037,4593100.350642564,894.6016122070313,959.074536,41.148,47.5488,Very_Coarse
16255,91,78,0,507786.21967643185,4606169.231506617,830.0379877929688,833.509128,0.0,1.524,Mixed_Fine
16255,91,78,0,507786.21967643185,4606169.231506617,825.4659877929688,833.509128,1.524,9.144,Mixed_Fine
16255,91,78,0,507786.21967643185,4606169.231506617,820.1319877929687,833.509128,9.144,12.192,Mixed_Coarse
16255,91,78,1,507786.21967643185,4606169.231506617,814.0359877929687,833.509128,12.192,21.336,Mixed_Fine
16255,91,78,1,507786.21967643185,4606169.231506617,807.1779877929688,833.509128,21.336,25.908,Mixed_Fine
16255,91,78,1,507786.21967643185,4606169.231506617,803.3679877929687,833.509128,25.908,28.956,Mixed_Fine
16255,91,78,1,507786.21967643185,4606169.231506617,798.7959877929687,833.509128,28.956,35.052,Mixed_Coarse
