"","Statistic","All","Pre","Post"
"1","NSE",0.971589830910772,0.969988621489148,0.970300354859627
"2","RMSE",2.50473879527214,3.17504499545223,2.42360520731199
"3","KGE",0.972283724299621,0.964719781836967,0.966068636509347
