Month East_Fork_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Sugar_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1996-01-01 453092.90970324 251187.366766101 87043.2845612762 195952.463129653 392008.651996678 28448.3603058335 21336.2702293751 142241.801529167 478052.113409255 90833.0404147417 81595.4142881762 295373.908432619
1996-02-01 860174.610361283 417966.374300751 149405.779239353 393563.642347376 733524.34760944 55222.1515699864 41416.6136774898 276110.757849932 978933.230550681 179214.704200239 116521.157520833 478215.16524315
1996-03-01 498887.563039052 270529.629443953 94235.2833869046 217804.793847925 430584.314309224 31440.6492788426 23580.4869591319 157203.246394213 533092.292761469 100661.628931025 85654.6094368264 316661.702306851
1996-04-01 515808.541615855 279669.017968884 97421.8408856569 225204.651738101 445182.288822588 32507.7461180833 24380.8095885625 162538.730590416 551214.462965813 104079.756347075 88534.9864786569 327350.765876828
1996-05-01 527170.657579112 282270.963828911 98618.8559894624 231400.814577582 454363.841679955 33294.0946470151 24970.5709852613 166470.473235076 567423.932138849 106762.518650628 88069.706299215 329537.707630464
1996-06-01 233685.965707827 151955.916070929 50714.8455994726 94405.1613052636 205749.994695557 14282.9795784687 10712.2346838515 71414.8978923434 224978.264111535 44714.3446871124 59392.1648634506 184705.83858365
1996-07-01 71015.7259883232 60243.1215495294 18885.2400550223 25608.209699885 64376.532381111 4150.1706709475 3112.62800321063 20750.8533547375 58688.9498732745 12572.6970293763 32050.6760681998 77384.465729791
1996-08-01 19906.9927287983 22612.3402171033 6617.46312613497 6336.58742913753 18633.1442928022 1107.47332743104 830.604995573282 5537.36663715522 13912.3841238745 3236.173509104 16878.0009001608 30862.1481904914
1996-09-01 17745.400136848 20852.2581634368 6053.82072365955 5567.27489256875 16671.7719281853 981.588568771863 736.191426578897 4907.94284385931 12162.5499468011 2856.33080614002 16188.5995033305 28661.0900034355
1996-10-01 32720.7745957428 33160.7457393743 9968.75580878519 10935.5588046701 30246.146078554 1855.69431193764 1391.77073395323 9278.47155968822 24415.5634366621 5499.5265654874 21684.2772810411 44199.2994370251
