Day	Scott_River_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
2013-10-25	50889.0476869632	16636.8040515072	16825.3020573055	10175.7884389159	12752.8439625037	3399.92594844736	13072.9748646322	15413.5096359552
2013-10-26	50644.3888038528	16636.8040515072	16825.3020573055	10175.7884389159	12752.8439625037	3399.92594844736	13072.9748646322	15902.827402176
2013-10-27	51133.7065700736	16392.1451683968	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	17615.4395839488
2013-10-28	55292.9075829504	15658.1685190656	17231.8528363726	10411.6211347361	13105.4188385346	3481.80903351094	13244.6641565263	20306.6872981632
2013-10-29	58962.7908296064	15413.5096359552	17169.4055973433	10375.4113711105	13051.1847947914	3469.23199318497	13218.412605701	20306.6872981632
2013-10-30	58228.8141802752	15658.1685190656	16950.5575756463	10248.4711606349	12861.3420992183	3425.15424430678	13126.0697502841	17615.4395839488
2013-10-31	58228.8141802752	15413.5096359552	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	18104.7573501696
2013-11-01	57250.1786478336	14924.1918697344	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	15168.8507528448
2013-11-02	56760.8608816128	15413.5096359552	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	12966.9208048512
2013-11-03	56760.8608816128	11743.6263892992	16856.6296498942	10193.9691198921	12779.9696364369	3406.23584133698	13086.2711621136	13945.5563372928
2013-11-04	58228.8141802752	9541.6964413056	16856.6296498942	10193.9691198921	12779.9696364369	3406.23584133698	13086.2711621136	14434.8741035136
2013-11-05	58473.4730633856	10031.0142075264	16731.2641136318	10121.206157833	12671.4623584268	3380.9849293942	13032.9949721848	15168.8507528448
2013-11-06	60675.4030113792	10275.6730906368	16856.6296498942	10193.9691198921	12779.9696364369	3406.23584133698	13086.2711621136	15168.8507528448
2013-11-07	65568.5806735872	10764.9908568576	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	13456.238571072
2013-11-08	65323.9217904768	11009.649739968	16919.2573867978	10230.3104640145	12834.2187031435	3418.84998467811	13112.8185556487	15413.5096359552
2013-11-09	64589.9451411456	11009.649739968	16950.5575756463	10248.4711606349	12861.3420992183	3425.15424430678	13126.0697502841	15902.827402176
2013-11-10	61164.7207776	10764.9908568576	17106.922605428	10339.1755518627	12996.9477721957	3456.64760369642	13192.1026499594	17370.7807008384
2013-11-11	57250.1786478336	9786.355324416	17231.8528363726	10411.6211347361	13105.4188385346	3481.80903351094	13244.6641565263	14924.1918697344
2013-11-12	57250.1786478336	9541.6964413056	17044.4036888512	10302.9135479521	12942.7077579871	3444.05582964878	13165.7339115782	14924.1918697344
2013-11-13	59941.426362048	10275.6730906368	16981.8486742789	10266.6252291482	12888.4647392964	3431.45663532399	13139.3060087754	15413.5096359552
2013-11-14	60675.4030113792	10031.0142075264	17356.640735206	10483.9630054276	13213.8780399674	3506.9412066787	13296.993534384	14679.532986624
2013-11-15	60920.0618944896	10031.0142075264	17418.9817309518	10520.0953647659	13268.1032226446	3519.49640874342	13323.0720971019	14679.532986624
2013-11-16	61898.6974269312	10275.6730906368	17325.4570302346	10465.8872052733	13186.7643464493	3500.66089097002	13283.9327899885	15168.8507528448
2013-11-17	61164.7207776	10275.6730906368	17200.633675293	10393.5195018571	13078.3021882262	3475.52142979344	13231.5456582774	17370.7807008384
2013-11-18	61654.0385438208	10275.6730906368	17387.8156285239	10502.0323867286	13240.9909981841	3513.21971117702	13310.0399549625	17860.0984670592
2013-11-19	92970.375581952	17370.7807008384	17947.4801502617	10826.2010657549	13728.9002406915	3625.92786266847	13542.476759476	18349.41623328
2013-11-20	127711.936983629	34252.243635456	20068.4562453413	12051.1135522324	15597.164897346	4052.96047088331	14394.8842185843	56271.543115392
2013-11-21	110096.49739968	29359.065973248	21100.4991056144	12645.2165653835	16516.6483394133	4260.69573349762	14794.826088975	46485.187790976
2013-11-22	81716.0669588736	17615.4395839488	21040.0139042206	12610.4307581832	16462.5801803191	4248.52186431039	14771.634834226	29359.065973248
2013-11-23	74620.959348672	11254.3086230784	20706.8532962012	12418.7531332585	16165.163136451	4181.46451615862	14643.3485543884	24465.88831104
2013-11-24	71195.7349851264	11498.9675061888	20494.4029247122	12296.4589143683	15975.8601641159	4138.70145970853	14561.0535566197	24465.88831104
2013-11-25	70461.7583357952	11498.9675061888	20129.3922209412	12086.22547574	15651.2715940227	4065.22694429587	14418.7537927208	23487.2527785984
2013-11-26	70951.076102016	11009.649739968	19946.4968092453	11980.8263467896	15488.9440524656	4028.40955018879	14347.0118588333	21774.6405968256
2013-11-27	70706.4172189056	10031.0142075264	19120.1505216888	11504.1265101829	14758.1882406812	3862.04977319381	14019.0854874994	21774.6405968256
2013-11-28	67281.19285536	7829.0842595328	18627.8143765906	11219.7156754158	14324.9234323854	3762.92179397577	13820.647007916	19572.710648832
2013-11-29	66791.8750891392	7829.0842595328	18226.2807011916	10987.534707964	13972.7684246055	3682.06989268372	13657.0392784299	20306.6872981632
2013-11-30	66302.5573229184	7584.4253764224	18009.4943673655	10862.095560654	13783.0980830417	3638.41590033683	13568.0285547502	20306.6872981632
2013-12-01	66057.898439808	7339.766493312	18009.4943673655	10862.095560654	13783.0980830417	3638.41590033683	13568.0285547502	22263.9583630464
2013-12-02	74620.959348672	8807.7197919744	18257.2169763313	11005.4304451573	13999.8613991936	3688.29935391462	13669.7022274183	20062.0284150528
2013-12-03	98108.2121272704	17370.7807008384	18040.4888751974	10880.0336425695	13810.195947281	3644.65732943406	13580.7843041317	17860.0984670592
2013-12-04	71440.3938682368	10275.6730906368	18040.4888751974	10880.0336425695	13810.195947281	3644.65732943406	13580.7843041317	16636.8040515072
2013-12-05	55486.1215554994	9786.355324416	18226.2807011916	10987.534707964	13972.7684246055	3682.06989268372	13657.0392784299	17126.121817728
2013-12-06	79758.7958939904	12722.2619217408	19273.5950052976	11592.7069165097	14893.5487882172	3892.94290173014	14080.4570316599	20796.005064384
2013-12-07	70461.7583357952	13945.5563372928	19610.4999959244	11787.095786796	15191.2849756728	3960.76952568126	14214.4328631218	22263.9583630464
2013-12-08	62388.015193152	11009.649739968	18905.0018971192	11379.8771301562	14568.6558685062	3818.73233424088	13932.6573538868	21529.9817137152
2013-12-09	68259.8283878016	11498.9675061888	18319.0648107667	11041.2039524332	14054.0452708614	3700.75319694729	13694.9888697127	21040.6639474944
2013-12-10	74131.6415824512	13456.238571072	18751.0883783701	11290.9563092955	14433.255671435	3787.74282532259	13870.5542104871	20551.3461812736
2013-12-11	73642.3238162304	14434.8741035136	19150.8548713046	11521.853802755	14785.2616581432	3868.23157417023	14031.3838024142	19817.3695319424
2013-12-12	72908.3471668992	14924.1918697344	19334.9189400394	11628.100008777	14947.6884464863	3905.28908634354	14104.9221007098	19328.0517657216
2013-12-13	71685.0527513472	14679.532986624	19457.4751849913	11698.8197425474	15055.959997841	3929.96262906177	14153.7104809921	20062.0284150528
2013-12-14	68259.8283878016	13456.238571072	19273.5950052976	11592.7069165097	14893.5487882172	3892.94290173014	14080.4570316599	20306.6872981632
2013-12-15	68259.8283878016	14679.532986624	19457.4751849913	11698.8197425474	15055.959997841	3929.96262906177	14153.7104809921	19328.0517657216
2013-12-16	68259.8283878016	14434.8741035136	19579.9101055983	11769.4515044228	15164.2212592604	3954.61124314086	14202.3116000434	19328.0517657216
2013-12-17	70706.4172189056	13700.8974541824	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	19328.0517657216
2013-12-18	70951.076102016	13700.8974541824	19702.224698254	11839.9960389883	15272.472306143	3979.23513381364	14250.7275233847	19328.0517657216
2013-12-19	68259.8283878016	12966.9208048512	19702.224698254	11839.9960389883	15272.472306143	3979.23513381364	14250.7275233847	19083.3928826112
2013-12-20	66791.8750891392	12477.6030386304	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	18349.41623328
2013-12-21	68504.487270912	11743.6263892992	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	18349.41623328
2013-12-22	68504.487270912	11498.9675061888	19579.9101055983	11769.4515044228	15164.2212592604	3954.61124314086	14202.3116000434	17370.7807008384
2013-12-23	68259.8283878016	11498.9675061888	19549.3126948499	11751.8017703993	15137.1569044448	3948.45141540294	14190.1787624159	17370.7807008384
2013-12-24	68259.8283878016	11743.6263892992	19641.0823812463	11804.734629039	15218.3480548492	3966.92626619989	14226.5425835558	15902.827402176
2013-12-25	66547.2162060288	11254.3086230784	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	17126.121817728
2013-12-26	63611.309608704	11743.6263892992	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	17370.7807008384
2013-12-27	66302.5573229184	11988.2852724096	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	17370.7807008384
2013-12-28	63611.309608704	11254.3086230784	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	17370.7807008384
2013-12-29	63366.6507255936	11988.2852724096	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	17126.121817728
2013-12-30	64100.6273749248	11988.2852724096	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	16881.4629346176
2013-12-31	65079.2629073664	12477.6030386304	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	15413.5096359552
2014-01-01	64589.9451411456	12477.6030386304	19579.9101055983	11769.4515044228	15164.2212592604	3954.61124314086	14202.3116000434	12966.9208048512
2014-01-02	64100.6273749248	12477.6030386304	19610.4999959244	11787.095786796	15191.2849756728	3960.76952568126	14214.4328631218	12722.2619217408
2014-01-03	64100.6273749248	13211.5796879616	19641.0823812463	11804.734629039	15218.3480548492	3966.92626619989	14226.5425835558	15168.8507528448
2014-01-04	62632.6740762624	12966.9208048512	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	15658.1685190656
2014-01-05	60430.7441282688	11498.9675061888	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	15658.1685190656
2014-01-06	61654.0385438208	8563.060908864	19671.6572769229	11822.3680426264	15245.410497953	3973.08146786024	14238.640793105	15658.1685190656
2014-01-07	63611.309608704	9052.3786750848	19457.4751849913	11698.8197425474	15055.959997841	3929.96262906177	14153.7104809921	15658.1685190656
2014-01-08	66791.8750891392	8563.060908864	19334.9189400394	11628.100008777	14947.6884464863	3905.28908634354	14104.9221007098	15658.1685190656
2014-01-09	70217.0994526848	10764.9908568576	19457.4751849913	11698.8197425474	15055.959997841	3929.96262906177	14153.7104809921	15658.1685190656
2014-01-10	66302.5573229184	9541.6964413056	19457.4751849913	11698.8197425474	15055.959997841	3929.96262906177	14153.7104809921	15168.8507528448
2014-01-11	93459.6933481728	18838.7339995008	20129.3922209412	12086.22547574	15651.2715940227	4065.22694429587	14418.7537927208	17860.0984670592
