well_id  specify_pumping
Apr2015  FALSE
May2015  FALSE
Jun2015  FALSE
Jul2015  FALSE
Aug2015  FALSE
Sep2015  FALSE
Oct2015  FALSE
Nov2015  FALSE
Dec2015  FALSE
Jan2016  FALSE
Feb2016  FALSE
Mar2016  FALSE
Apr2016  FALSE
May2016  FALSE
Jun2016  FALSE
Jul2016  FALSE
Aug2016  FALSE
Sep2016  FALSE
Oct2016  FALSE
Nov2016  FALSE
Dec2016  FALSE
Jan2017  FALSE
Feb2017  FALSE
Mar2017  FALSE
Apr2017  FALSE
May2017  FALSE
Jun2017  FALSE
Jul2017  FALSE
Aug2017  FALSE
Sep2017  FALSE
Oct2017  FALSE
Nov2017  FALSE
Dec2017  FALSE
Jan2018  FALSE
Feb2018  FALSE
Mar2018  FALSE
Apr2018  FALSE
May2018  FALSE
Jun2018  FALSE
Jul2018  FALSE
Aug2018  FALSE
Sep2018  FALSE
Oct2018  FALSE
Nov2018  FALSE
Dec2018  FALSE
Jan2019  FALSE
Feb2019  FALSE
Mar2019  FALSE
Apr2019  FALSE
May2019  FALSE
Jun2019  FALSE
Jul2019  FALSE
Aug2019  FALSE
Sep2019  FALSE
Oct2019  FALSE
Nov2019  FALSE
Dec2019  FALSE
Jan2020  FALSE
Feb2020  FALSE
Mar2020  FALSE
Apr2020  FALSE
May2020  FALSE
Jun2020  FALSE
Jul2020  FALSE
Aug2020  FALSE
Sep2020  FALSE
Oct2020  FALSE
Nov2020  FALSE
Dec2020  FALSE
Jan2021  FALSE
Feb2021  FALSE
Mar2021  FALSE
Apr2021  FALSE
May2021  FALSE
Jun2021  FALSE
Jul2021  FALSE
Aug2021  FALSE
Sep2021  FALSE
Oct2021  FALSE
Nov2021  FALSE
Dec2021  FALSE
Jan2022  FALSE
Feb2022  FALSE
Mar2022  FALSE
Apr2022  FALSE
May2022  FALSE
Jun2022  FALSE
Jul2022  FALSE
Aug2022  FALSE
Sep2022  FALSE
Oct2022  FALSE
Nov2022  FALSE
Dec2022  FALSE
Jan2023  FALSE
Feb2023  FALSE
Mar2023  FALSE
Apr2023  FALSE
May2023  FALSE
Jun2023  FALSE
Jul2023  FALSE
Aug2023  FALSE
